STK_CDAT,STK_CODE,STK_NAME,STK_FIRST
2019-10-18,AALI,Astra Agro Lestari Tbk.,10600.0
2019-10-18,ABBA,Mahaka Media Tbk.,185.0
2019-10-18,ABDA,Asuransi Bina Dana Arta Tbk.,6975.0
2019-10-18,ABMM,ABM Investama Tbk.,1535.0
2019-10-18,ACES,Ace Hardware Indonesia Tbk.,1860.0
2019-10-18,ACST,Acset Indonusa Tbk.,1135.0
2019-10-18,ADES,Akasha Wira International Tbk.,1060.0
2019-10-18,ADHI,Adhi Karya (Persero) Tbk.,1255.0
2019-10-18,ADMF,Adira Dinamika Multi Finance Tbk.,10675.0
2019-10-18,ADMG,Polychem Indonesia Tbk,208.0
2019-10-18,ADRO,Adaro Energy Tbk.,1320.0
2019-10-18,AGII,Aneka Gas Industri Tbk.,605.0
2019-10-18,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,216.0
2019-10-18,AGRS,Bank IBK Indonesia Tbk.,178.0
2019-10-18,AHAP,Asuransi Harta Aman Pratama Tbk.,69.0
2019-10-18,AKKU,Anugerah Kagum Karya Utama Tbk.,50.0
2019-10-18,AKPI,Argha Karya Prima Industry Tbk.,396.0
2019-10-18,AKRA,AKR Corporindo Tbk.,4250.0
2019-10-18,AKSI,Majapahit Inti Corpora Tbk.,800.0
2019-10-18,ALDO,Alkindo Naratama Tbk.,380.0
2019-10-18,ALKA,Alakasa Industrindo Tbk,434.0
2019-10-18,ALMI,Alumindo Light Metal Industry Tbk.,336.0
2019-10-18,AMAG,Asuransi Multi Artha Guna Tbk.,316.0
2019-10-18,AMIN,Ateliers Mecaniques D Indonesie Tbk.,292.0
2019-10-18,AMRT,Sumber Alfaria Trijaya Tbk.,930.0
2019-10-18,ANDI,Andira Agro Tbk.,1630.0
2019-10-18,ANJT,Austindo Nusantara Jaya Tbk.,820.0
2019-10-18,ANTM,Aneka Tambang Tbk.,955.0
2019-10-18,APEX,Apexindo Pratama Duta Tbk.,605.0
2019-10-18,APIC,Pacific Strategic Financial Tbk.,730.0
2019-10-18,APLI,Asiaplast Industries Tbk.,90.0
2019-10-18,APLN,Agung Podomoro Land Tbk.,238.0
2019-10-18,APOL,Arpeni Pratama Ocean Line Tbk.,50.0
2019-10-18,APOL-W2,Waran Seri II Arpeni Pratama Ocean Line,33.0
2019-10-18,ARII,Atlas Resources Tbk.,700.0
2019-10-18,ARKA,Arkha Jayanti Persada Tbk.,1715.0
2019-10-18,ARMY,Armidian Karyatama Tbk.,210.0
2019-10-18,ARNA,Arwana Citramulia Tbk.,525.0
2019-10-18,ARTA,Arthavest Tbk,376.0
2019-10-18,ARTI,Ratu Prabu Energi Tbk,50.0
2019-10-18,ASBI,Asuransi Bintang Tbk.,322.0
2019-10-18,ASDM,Asuransi Dayin Mitra Tbk.,1095.0
2019-10-18,ASGR,Astra Graphia Tbk.,1000.0
2019-10-18,ASII,Astra International Tbk.,6650.0
2019-10-18,ASJT,Asuransi Jasa Tania Tbk.,182.0
2019-10-18,ASMI,Asuransi Kresna Mitra Tbk.,970.0
2019-10-18,ASRI,Alam Sutera Realty Tbk.,290.0
2019-10-18,ASRM,Asuransi Ramayana Tbk.,2060.0
2019-10-18,ASSA,Adi Sarana Armada Tbk.,770.0
2019-10-18,ATIC,Anabatic Technologies Tbk.,805.0
2019-10-18,AUTO,Astra Otoparts Tbk.,1150.0
2019-10-18,BABP,Bank MNC Internasional Tbk.,50.0
2019-10-18,BABP-W3,Waran Seri IV Bank MNC Internasional Tbk,41.0
2019-10-18,BACA,Bank Capital Indonesia Tbk.,286.0
2019-10-18,BAJA,Saranacentral Bajatama Tbk.,92.0
2019-10-18,BAPA,Bekasi Asri Pemula Tbk.,80.0
2019-10-18,BAPI,Bhakti Agung Propertindo Tbk.,50.0
2019-10-18,BAPI-W,Waran Seri I Bhakti Agung Propertindo Tb,7.0
2019-10-18,BATA,Sepatu Bata Tbk.,715.0
2019-10-18,BAYU,Bayu Buana Tbk,1500.0
2019-10-18,BBCA,Bank Central Asia Tbk.,30800.0
2019-10-18,BBHI,Bank Harda Internasional Tbk.,186.0
2019-10-18,BBKP,Bank Bukopin Tbk.,270.0
2019-10-18,BBLD,Buana Finance Tbk.,450.0
2019-10-18,BBNI,Bank Negara Indonesia (Persero) Tbk.,7350.0
2019-10-18,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,4050.0
2019-10-18,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,50.0
2019-10-18,BBTN,Bank Tabungan Negara (Persero) Tbk.,1910.0
2019-10-18,BBYB,Bank Yudha Bhakti Tbk.,308.0
2019-10-18,BCAP,MNC Kapital Indonesia Tbk.,149.0
2019-10-18,BCIP,Bumi Citra Permai Tbk.,82.0
2019-10-18,BDMN,Bank Danamon Indonesia Tbk.,4680.0
2019-10-18,BEEF,Estika Tata Tiara Tbk.,330.0
2019-10-18,BEEF-W,Waran Seri I Estika Tata Tiara Tbk.,40.0
2019-10-18,BEKS,Bank Pembangunan Daerah Banten Tbk.,50.0
2019-10-18,BELL,Trisula Textile Industries Tbk.,515.0
2019-10-18,BEST,Bekasi Fajar Industrial Estate Tbk.,254.0
2019-10-18,BFIN,BFI Finance  Indonesia Tbk.,560.0
2019-10-18,BGTG,Bank Ganesha Tbk.,67.0
2019-10-18,BHIT,MNC Investama Tbk.,75.0
2019-10-18,BIMA,Primarindo Asia Infrastructure Tbk.,50.0
2019-10-18,BINA,Bank Ina Perdana Tbk.,840.0
2019-10-18,BIPI,Astrindo Nusantara Infrastruktur Tbk.,50.0
2019-10-18,BIPI-W,Waran Seri II Astrindo Nusantara Infrast,11.0
2019-10-18,BIPP,Bhuwanatala Indah Permai Tbk.,75.0
2019-10-18,BIRD,Blue Bird Tbk.,2370.0
2019-10-18,BISI,BISI International Tbk.,1365.0
2019-10-18,BJBR,Bank Pembangunan Daerah Jawa Barat dan B,1725.0
2019-10-18,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,670.0
2019-10-18,BKDP,Bukit Darmo Property Tbk,56.0
2019-10-18,BKSL,Sentul City Tbk.,123.0
2019-10-18,BKSL-W,Waran Seri I Sentul City Tbk.,25.0
2019-10-18,BKSW,Bank QNB Indonesia Tbk.,210.0
2019-10-18,BLTA,Berlian Laju Tanker Tbk,50.0
2019-10-18,BLUE,Berkah Prima Perkasa Tbk.,496.0
2019-10-18,BMAS,Bank Maspion Indonesia Tbk.,278.0
2019-10-18,BMRI,Bank Mandiri (Persero) Tbk.,6675.0
2019-10-18,BMSR,Bintang Mitra Semestaraya Tbk,83.0
2019-10-18,BMTR,Global Mediacom Tbk.,400.0
2019-10-18,BNBA,Bank Bumi Arta Tbk.,320.0
2019-10-18,BNBR,Bakrie & Brothers Tbk,50.0
2019-10-18,BNGA,Bank CIMB Niaga Tbk.,990.0
2019-10-18,BNII,Bank Maybank Indonesia Tbk.,216.0
2019-10-18,BNLI,Bank Permata Tbk.,1195.0
2019-10-18,BOGA,Bintang Oto Global Tbk.,805.0
2019-10-18,BOLA,Bali Bintang Sejahtera Tbk.,362.0
2019-10-18,BOLT,Garuda Metalindo Tbk.,850.0
2019-10-18,BOSS,Borneo Olah Sarana Sukses Tbk.,675.0
2019-10-18,BPTR,Batavia Prosperindo Trans Tbk.,106.0
2019-10-18,BRAM,Indo Kordsa Tbk.,16600.0
2019-10-18,BRIS,Bank BRIsyariah Tbk.,398.0
2019-10-18,BRMS,Bumi Resources Minerals Tbk.,50.0
2019-10-18,BRPT,Barito Pacific Tbk.,935.0
2019-10-18,BRPT-W,Waran Seri I Barito Pacific Tbk.,500.0
2019-10-18,BSDE,Bumi Serpong Damai Tbk.,1380.0
2019-10-18,BSIM,Bank Sinarmas Tbk.,590.0
2019-10-18,BSIM-W3,Waran Seri III Bank Sinarmas Tbk.,50.0
2019-10-18,BSSR,Baramulti Suksessarana Tbk.,1740.0
2019-10-18,BTEK,Bumi Teknokultura Unggul Tbk,69.0
2019-10-18,BTON,Betonjaya Manunggal Tbk.,208.0
2019-10-18,BTPN,Bank BTPN Tbk.,3240.0
2019-10-18,BTPS,Bank Tabungan Pensiunan Nasional Syariah,3710.0
2019-10-18,BUDI,Budi Starch & Sweetener Tbk.,101.0
2019-10-18,BUKK,Bukaka Teknik Utama Tbk.,1745.0
2019-10-18,BULL,Buana Lintas Lautan Tbk.,195.0
2019-10-18,BULL-W,Waran Seri II Buana Lintas Lautan Tbk.,100.0
2019-10-18,BULL-W2,Waran Seri IV Buana Lintas Lautan Tbk.,31.0
2019-10-18,BUMI,Bumi Resources Tbk.,84.0
2019-10-18,BUVA,Bukit Uluwatu Villa Tbk.,85.0
2019-10-18,BVIC,Bank Victoria International Tbk.,170.0
2019-10-18,BWPT,Eagle High Plantations Tbk.,120.0
2019-10-18,CAKK,Cahayaputra Asa Keramik Tbk.,102.0
2019-10-18,CAKK-W,Waran Seri I Cahayaputra Asa Keramik Tbk,26.0
2019-10-18,CAMP,Campina Ice Cream Industry Tbk.,414.0
2019-10-18,CANI,Capitol Nusantara Indonesia Tbk.,146.0
2019-10-18,CARS,Industri dan Perdagangan Bintraco Dharma,220.0
2019-10-18,CASA,Capital Financial Indonesia Tbk.,390.0
2019-10-18,CASS,Cardig Aero Services Tbk.,620.0
2019-10-18,CCSI,Communication Cable Systems Indonesia Tb,302.0
2019-10-18,CEKA,Wilmar Cahaya Indonesia Tbk.,1585.0
2019-10-18,CENT,Centratama Telekomunikasi Indonesia Tbk.,81.0
2019-10-18,CFIN,Clipan Finance Indonesia Tbk.,298.0
2019-10-18,CINT,Chitose Internasional Tbk.,254.0
2019-10-18,CITA,Cita Mineral Investindo Tbk.,1980.0
2019-10-18,CLAY,Citra Putra Realty Tbk.,5525.0
2019-10-18,CLEO,Sariguna Primatirta Tbk.,540.0
2019-10-18,CLPI,Colorpak Indonesia Tbk.,800.0
2019-10-18,CMNP,Citra Marga Nusaphala Persada Tbk.,1940.0
2019-10-18,CNKO,Exploitasi Energi Indonesia Tbk.,50.0
2019-10-18,CNTX,Century Textile Industry Tbk.,446.0
2019-10-18,COCO,Wahana Interfood Nusantara Tbk.,925.0
2019-10-18,CPIN,Charoen Pokphand Indonesia Tbk,5800.0
2019-10-18,CPRI,Capri Nusa Satu Properti Tbk.,54.0
2019-10-18,CPRI-W,Waran Seri I Capri Nusa Satu Properti Tb,32.0
2019-10-18,CPRO,Central Proteina Prima Tbk.,50.0
2019-10-18,CSAP,Catur Sentosa Adiprana Tbk.,436.0
2019-10-18,CSIS,Cahayasakti Investindo Sukses Tbk.,99.0
2019-10-18,CTRA,Ciputra Development Tbk.,1130.0
2019-10-18,CTTH,Citatah Tbk.,91.0
2019-10-18,DART,Duta Anggada Realty Tbk.,302.0
2019-10-18,DAYA,Duta Intidaya Tbk.,212.0
2019-10-18,DEAL,Dewata Freightinternational Tbk.,1840.0
2019-10-18,DEWA,Darma Henwa Tbk,50.0
2019-10-18,DFAM,Dafam Property Indonesia Tbk.,1005.0
2019-10-18,DILD,Intiland Development Tbk.,372.0
2019-10-18,DIVA,Distribusi Voucher Nusantara Tbk.,3760.0
2019-10-18,DKFT,Central Omega Resources Tbk.,202.0
2019-10-18,DLTA,Delta Djakarta Tbk.,6700.0
2019-10-18,DMAS,Puradelta Lestari Tbk.,300.0
2019-10-18,DNAR,Bank Oke Indonesia Tbk.,234.0
2019-10-18,DNET,Indoritel Makmur Internasional Tbk.,3070.0
2019-10-18,DOID,Delta Dunia Makmur Tbk.,322.0
2019-10-18,DPUM,Dua Putra Utama Makmur Tbk.,113.0
2019-10-18,DSFI,Dharma Samudera Fishing Industries Tbk.,115.0
2019-10-18,DSNG,Dharma Satya Nusantara Tbk.,332.0
2019-10-18,DUCK,Jaya Bersama Indo Tbk.,1725.0
2019-10-18,DVLA,Darya-Varia Laboratoria Tbk.,2190.0
2019-10-18,DWGL,Dwi Guna Laksana Tbk.,250.0
2019-10-18,DWGL-W,Waran Seri I Dwi Guna Laksana Tbk.,68.0
2019-10-18,DYAN,Dyandra Media International Tbk.,126.0
2019-10-18,EAST,Eastparc Hotel Tbk.,116.0
2019-10-18,EAST-W,Waran Seri I Eastparc Hotel Tbk.,18.0
2019-10-18,ECII,Electronic City Indonesia Tbk.,1120.0
2019-10-18,EKAD,Ekadharma International Tbk.,860.0
2019-10-18,ELSA,Elnusa Tbk.,324.0
2019-10-18,EMDE,Megapolitan Developments Tbk.,232.0
2019-10-18,EMTK,Elang Mahkota Teknologi Tbk.,5600.0
2019-10-18,ENRG,Energi Mega Persada Tbk.,55.0
2019-10-18,ENVY,Envy Technologies Indonesia Tbk.,2180.0
2019-10-18,ERAA,Erajaya Swasembada Tbk.,1900.0
2019-10-18,ESSA,Surya Esa Perkasa Tbk.,278.0
2019-10-18,ESTI,Ever Shine Tex Tbk.,102.0
2019-10-18,ETWA,Eterindo Wahanatama Tbk,80.0
2019-10-18,EXCL,XL Axiata Tbk.,3540.0
2019-10-18,FAST,Fast Food Indonesia Tbk.,2830.0
2019-10-18,FILM,MD Pictures Tbk.,260.0
2019-10-18,FIRE,Alfa Energi Investama Tbk.,2500.0
2019-10-18,FISH,FKS Multi Agro Tbk.,2900.0
2019-10-18,FITT,Hotel Fitra International Tbk.,85.0
2019-10-18,FITT-W,Waran Seri I Hotel Fitra International T,35.0
2019-10-18,FOOD,Sentra Food Indonesia Tbk.,124.0
2019-10-18,FORU,Fortune Indonesia Tbk,110.0
2019-10-18,FORZ,Forza Land Indonesia Tbk.,975.0
2019-10-18,FPNI,Lotte Chemical Titan Tbk.,130.0
2019-10-18,FREN,Smartfren Telecom Tbk.,162.0
2019-10-18,FREN-W,Waran Seri II Smartfren Telecom Tbk.,94.0
2019-10-18,FUJI,Fuji Finance Indonesia Tbk.,120.0
2019-10-18,GAMA,Gading Development Tbk.,50.0
2019-10-18,GDST,Gunawan Dianjaya Steel Tbk.,91.0
2019-10-18,GGRM,Gudang Garam Tbk.,54800.0
2019-10-18,GGRP,Gunung Raja Paksi Tbk.,700.0
2019-10-18,GHON,Gihon Telekomunikasi Indonesia Tbk.,1360.0
2019-10-18,GIAA,Garuda Indonesia (Persero) Tbk.,590.0
2019-10-18,GJTL,Gajah Tunggal Tbk.,630.0
2019-10-18,GLOB,Global Teleshop Tbk.,434.0
2019-10-18,GMFI,Garuda Maintenance Facility Aero Asia Tb,186.0
2019-10-18,GMTD,Gowa Makassar Tourism Development Tbk.,18000.0
2019-10-18,GOOD,Garudafood Putra Putri Jaya Tbk.,1575.0
2019-10-18,GPRA,Perdana Gapuraprima Tbk.,90.0
2019-10-18,GSMF,Equity Development Investment Tbk.,119.0
2019-10-18,GTBO,Garda Tujuh Buana Tbk,157.0
2019-10-18,GWSA,Greenwood Sejahtera Tbk.,171.0
2019-10-18,GZCO,Gozco Plantations Tbk.,50.0
2019-10-18,HADE,Himalaya Energi Perkasa Tbk.,50.0
2019-10-18,HDFA,Radana Bhaskara Finance Tbk.,153.0
2019-10-18,HDIT,Hensel Davest Indonesia Tbk.,765.0
2019-10-18,HEAL,Medikaloka Hermina Tbk.,3460.0
2019-10-18,HELI,Jaya Trishindo Tbk.,155.0
2019-10-18,HELI-W,Waran Seri I Jaya Trishindo Tbk.,17.0
2019-10-18,HERO,Hero Supermarket Tbk.,780.0
2019-10-18,HEXA,Hexindo Adiperkasa Tbk.,2920.0
2019-10-18,HITS,Humpuss Intermoda Transportasi Tbk.,615.0
2019-10-18,HKMU,HK Metals Utama Tbk.,324.0
2019-10-18,HMSP,H.M. Sampoerna Tbk.,2260.0
2019-10-18,HOKI,Buyung Poetra Sembada Tbk.,935.0
2019-10-18,HOKI-W,Waran Seri I Buyung Poetra Sembada Tbk.,660.0
2019-10-18,HOME,Hotel Mandarine Regency Tbk.,80.0
2019-10-18,HOTL,Saraswati Griya Lestari Tbk.,156.0
2019-10-18,HRME,Menteng Heritage Realty Tbk.,975.0
2019-10-18,HRTA,Hartadinata Abadi Tbk.,302.0
2019-10-18,HRUM,Harum Energy Tbk.,1290.0
2019-10-18,IATA,Indonesia Transport & Infrastructure Tbk,50.0
2019-10-18,IBFN,Intan Baruprana Finance Tbk.,202.0
2019-10-18,IBFN-W,Waran Seri I Intan Baruprana Finance Tbk,31.0
2019-10-18,ICBP,Indofood CBP Sukses Makmur Tbk.,11575.0
2019-10-18,ICON,Island Concepts Indonesia Tbk.,105.0
2019-10-18,IGAR,Champion Pacific Indonesia Tbk.,310.0
2019-10-18,IIKP,Inti Agri Resources Tbk,50.0
2019-10-18,IKAI,Intikeramik Alamasri Industri Tbk.,167.0
2019-10-18,IKBI,Sumi Indo Kabel Tbk.,278.0
2019-10-18,IMAS,Indomobil Sukses Internasional Tbk.,1565.0
2019-10-18,IMJS,Indomobil Multi Jasa Tbk.,396.0
2019-10-18,IMPC,Impack Pratama Industri Tbk.,1040.0
2019-10-18,INAF,Indofarma (Persero) Tbk.,1050.0
2019-10-18,INAI,Indal Aluminium Industry Tbk.,424.0
2019-10-18,INCF,Indo Komoditi Korpora Tbk.,57.0
2019-10-18,INCI,Intanwijaya Internasional Tbk,442.0
2019-10-18,INCO,Vale Indonesia Tbk.,3530.0
2019-10-18,INDF,Indofood Sukses Makmur Tbk.,7600.0
2019-10-18,INDR,Indo-Rama Synthetics Tbk.,3480.0
2019-10-18,INDS,Indospring Tbk.,2640.0
2019-10-18,INDX,Tanah Laut Tbk,64.0
2019-10-18,INDY,Indika Energy Tbk.,1320.0
2019-10-18,INKP,Indah Kiat Pulp & Paper Tbk.,6925.0
2019-10-18,INOV,Inocycle Technology Group Tbk.,398.0
2019-10-18,INPC,Bank Artha Graha Internasional Tbk.,68.0
2019-10-18,INPC-W,Waran Seri I Bank Artha Graha Internasio,8.0
2019-10-18,INPP,Indonesian Paradise Property Tbk.,800.0
2019-10-18,INPS,Indah Prakasa Sentosa Tbk.,3510.0
2019-10-18,INTA,Intraco Penta Tbk.,460.0
2019-10-18,INTD,Inter Delta Tbk,175.0
2019-10-18,INTP,Indocement Tunggal Prakarsa Tbk.,20400.0
2019-10-18,IPCC,Indonesia Kendaraan Terminal Tbk.,1070.0
2019-10-18,IPCM,Jasa Armada Indonesia Tbk.,204.0
2019-10-18,IPOL,Indopoly Swakarsa Industry Tbk.,98.0
2019-10-18,IPTV,MNC Vision Networks Tbk.,505.0
2019-10-18,IPTV-W,Waran Seri I MNC Vision Networks Tbk.,112.0
2019-10-18,IRRA,Itama Ranoraya Tbk.,520.0
2019-10-18,ISAT,Indosat Tbk.,3180.0
2019-10-18,ISSP,Steel Pipe Industry of Indonesia Tbk.,218.0
2019-10-18,ITIC,Indonesian Tobacco Tbk.,1380.0
2019-10-18,ITMA,Sumber Energi Andalan Tbk.,700.0
2019-10-18,ITMA-W,Waran Seri I Sumber Energi Andalan Tbk.,110.0
2019-10-18,ITMG,Indo Tambangraya Megah Tbk.,12350.0
2019-10-18,JAST,Jasnita Telekomindo Tbk.,1700.0
2019-10-18,JAWA,Jaya Agra Wattie Tbk.,114.0
2019-10-18,JAYA,Armada Berjaya Trans Tbk.,92.0
2019-10-18,JAYA-W,Waran Seri I Armada Berjaya Trans Tbk.,23.0
2019-10-18,JPFA,Japfa Comfeed Indonesia Tbk.,1655.0
2019-10-18,JRPT,Jaya Real Property Tbk.,655.0
2019-10-18,JSKY,Sky Energy Indonesia Tbk.,525.0
2019-10-18,JSMR,Jasa Marga (Persero) Tbk.,5650.0
2019-10-18,JTPE,Jasuindo Tiga Perkasa Tbk.,910.0
2019-10-18,KAEF,Kimia Farma (Persero) Tbk.,2820.0
2019-10-18,KARW,ICTSI Jasa Prima Tbk.,84.0
2019-10-18,KAYU,Darmi Bersaudara Tbk.,179.0
2019-10-18,KBLI,KMI Wire & Cable Tbk.,635.0
2019-10-18,KBLM,Kabelindo Murni Tbk.,310.0
2019-10-18,KBLV,First Media Tbk.,410.0
2019-10-18,KDSI,Kedawung Setia Industrial Tbk.,1390.0
2019-10-18,KEEN,Kencana Energi Lestari Tbk.,595.0
2019-10-18,KIAS,Keramika Indonesia Assosiasi Tbk.,83.0
2019-10-18,KICI,Kedaung Indah Can Tbk,338.0
2019-10-18,KIJA,Kawasan Industri Jababeka Tbk.,312.0
2019-10-18,KINO,Kino Indonesia Tbk.,4040.0
2019-10-18,KIOS,Kioson Komersial Indonesia Tbk.,350.0
2019-10-18,KIOS-W,Waran Seri I Kioson Komersial Indonesia,294.0
2019-10-18,KJEN,Krida Jaringan Nusantara Tbk.,2000.0
2019-10-18,KKGI,Resource Alam Indonesia Tbk.,224.0
2019-10-18,KLBF,Kalbe Farma Tbk.,1645.0
2019-10-18,KMTR,Kirana Megatara Tbk.,314.0
2019-10-18,KOBX,Kobexindo Tractors Tbk.,150.0
2019-10-18,KONI,Perdana Bangun Pusaka Tbk,630.0
2019-10-18,KOPI,Mitra Energi Persada Tbk.,635.0
2019-10-18,KOTA,DMS Propertindo Tbk.,670.0
2019-10-18,KOTA-W,Waran Seri I DMS Propertindo Tbk.,100.0
2019-10-18,KPAL,Steadfast Marine Tbk.,500.0
2019-10-18,KPAS,Cottonindo Ariesta Tbk.,103.0
2019-10-18,KPAS-W,Waran Seri I Cottonindo Ariesta Tbk.,36.0
2019-10-18,KPIG,MNC Land Tbk.,140.0
2019-10-18,KRAH,Grand Kartech Tbk.,930.0
2019-10-18,KRAS,Krakatau Steel (Persero) Tbk.,346.0
