STK_DATE,STK_CODE,STK_NAME,STK_PREV,STK_HIGH,STK_LOW,STK_CLOS,STK_VOLM,STK_AMNT,STK_INDX,STK_PIDX,STK_ASKP,STK_ASKV,STK_ASKF,STK_BIDP,STK_BIDV,STK_BIDF,STK_FHIG,STK_FLOW,STK_FCLO,STK_OPEN
2020-01-07,AALI,Astra Agro Lestari Tbk.,13500.0,13750.0,13225.0,13400.0,1397200,18866090000.0,1088.583,0.0,13500.0,88300,J,13400.0,4700,B,3.85,2.26,1.06,0.0
2020-01-07,ABBA,Mahaka Media Tbk.,104.0,108.0,103.0,104.0,19001800,2005895000.0,182.457,0.0,105.0,375900,J,104.0,1632200,B,3.85,2.26,1.06,0.0
2020-01-07,ABDA,Asuransi Bina Dana Arta Tbk.,6925.0,0.0,0.0,6925.0,0,0.0,1580.982,0.0,6225.0,100,J,5550.0,100,B,3.85,2.26,1.06,0.0
2020-01-07,ABMM,ABM Investama Tbk.,1530.0,0.0,0.0,1530.0,0,0.0,40.8,0.0,1515.0,1000,J,1170.0,1000,B,3.85,2.26,1.06,0.0
2020-01-07,ACES,Ace Hardware Indonesia Tbk.,1470.0,1485.0,1415.0,1440.0,34751300,50145393000.0,1756.098,0.0,1440.0,356400,J,1435.0,235700,B,3.85,2.26,1.06,0.0
2020-01-07,ACST,Acset Indonusa Tbk.,1000.0,1000.0,980.0,1000.0,2100,2085500.0,41.995,0.0,1000.0,186600,J,985.0,5000,B,3.85,2.26,1.06,0.0
2020-01-07,ADES,Akasha Wira International Tbk.,1050.0,1080.0,1025.0,1065.0,20600,21745000.0,55.325,0.0,1065.0,2600,J,1040.0,100,B,3.85,2.26,1.06,0.0
2020-01-07,ADHI,Adhi Karya (Persero) Tbk.,1185.0,1200.0,1180.0,1185.0,5072100,6030810500.0,930.631,0.0,1190.0,733500,J,1185.0,253700,B,3.85,2.26,1.06,0.0
2020-01-07,ADMF,Adira Dinamika Multi Finance Tbk.,10350.0,10400.0,10300.0,10300.0,273700,2822857500.0,443.011,0.0,10350.0,400,J,10300.0,1000,B,3.85,2.26,1.06,0.0
2020-01-07,ADMG,Polychem Indonesia Tbk,186.0,194.0,186.0,186.0,565000,105398000.0,16.603,0.0,186.0,8700,J,185.0,41200,B,3.85,2.26,1.06,0.0
2020-01-07,ADRO,Adaro Energy Tbk.,1465.0,1540.0,1460.0,1540.0,74336500,111904890000.0,140.0,0.0,1545.0,2729800,J,1540.0,521000,B,3.85,2.26,1.06,1480.0
2020-01-07,AGAR,Asia Sejahtera Mina Tbk.,358.0,370.0,356.0,370.0,61400,21929600.0,336.364,0.0,370.0,9700,J,358.0,2900,B,3.85,2.26,1.06,0.0
2020-01-07,AGII,Aneka Gas Industri Tbk.,645.0,645.0,625.0,625.0,126300,79281500.0,56.819,0.0,625.0,25500,J,620.0,25800,B,3.85,2.26,1.06,0.0
2020-01-07,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,196.0,199.0,196.0,199.0,1191700,235147000.0,325.121,0.0,199.0,93200,J,198.0,7400,B,3.85,2.26,1.06,0.0
2020-01-07,AGRS,Bank IBK Indonesia Tbk.,140.0,150.0,140.0,141.0,135900,19648800.0,128.182,0.0,143.0,400,J,141.0,25900,B,3.85,2.26,1.06,0.0
2020-01-07,AHAP,Asuransi Harta Aman Pratama Tbk.,58.0,62.0,59.0,60.0,9300,558500.0,226.219,0.0,59.0,3200,J,58.0,11000,B,3.85,2.26,1.06,0.0
2020-01-07,AIMS,Akbar Indo Makmur Stimec Tbk,180.0,0.0,0.0,180.0,0,0.0,144.0,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,AISA,Tiga Pilar Sejahtera Food Tbk.,168.0,0.0,0.0,168.0,0,0.0,20.449,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,AKKU,Anugerah Kagum Karya Utama Tbk.,50.0,50.0,50.0,50.0,2500,125000.0,75.894,0.0,50.0,3720000,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,AKPI,Argha Karya Prima Industry Tbk.,410.0,410.0,410.0,410.0,6200,2542000.0,54.084,0.0,408.0,9500,J,376.0,2000,B,3.85,2.26,1.06,0.0
2020-01-07,AKRA,AKR Corporindo Tbk.,3640.0,3700.0,3490.0,3530.0,17326000,61307850000.0,2813.4,0.0,3530.0,22200,J,3520.0,13800,B,3.85,2.26,1.06,3690.0
2020-01-07,AKSI,Majapahit Inti Corpora Tbk.,1080.0,1080.0,810.0,810.0,82300,71113500.0,405.0,0.0,945.0,2000,J,810.0,5900,B,3.85,2.26,1.06,0.0
2020-01-07,ALDO,Alkindo Naratama Tbk.,400.0,400.0,390.0,400.0,10800,4303000.0,293.163,0.0,400.0,16700,J,390.0,39300,B,3.85,2.26,1.06,0.0
2020-01-07,ALKA,Alakasa Industrindo Tbk,400.0,410.0,380.0,410.0,300,118200.0,69.024,0.0,410.0,100,J,390.0,600,B,3.85,2.26,1.06,0.0
2020-01-07,ALMI,Alumindo Light Metal Industry Tbk.,310.0,386.0,310.0,348.0,27200,10005000.0,53.539,0.0,348.0,240800,J,310.0,100200,B,3.85,2.26,1.06,0.0
2020-01-07,ALTO,Tri Banyan Tirta Tbk.,400.0,400.0,380.0,400.0,2631100,1023552600.0,199.845,0.0,400.0,20100,J,370.0,2000,B,3.85,2.26,1.06,0.0
2020-01-07,AMAG,Asuransi Multi Artha Guna Tbk.,296.0,296.0,296.0,296.0,100,29600.0,281.905,0.0,296.0,3600,J,282.0,100,B,3.85,2.26,1.06,0.0
2020-01-07,AMFG,Asahimas Flat Glass Tbk.,3600.0,3900.0,3700.0,3860.0,4700,18115000.0,157.552,0.0,3860.0,14200,J,3700.0,4000,B,3.85,2.26,1.06,0.0
2020-01-07,AMIN,Ateliers Mecaniques D Indonesie Tbk.,310.0,310.0,310.0,310.0,2500,775000.0,242.188,0.0,310.0,1300,J,308.0,100,B,3.85,2.26,1.06,0.0
2020-01-07,AMRT,Sumber Alfaria Trijaya Tbk.,845.0,850.0,840.0,840.0,20500,17274500.0,2143.459,0.0,840.0,9900,J,830.0,2700,B,3.85,2.26,1.06,0.0
2020-01-07,ANDI,Andira Agro Tbk.,50.0,50.0,50.0,50.0,1235300,61765000.0,125.0,0.0,50.0,17058600,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,ANJT,Austindo Nusantara Jaya Tbk.,945.0,0.0,0.0,945.0,0,0.0,78.75,0.0,925.0,1000,J,710.0,2000,B,3.85,2.26,1.06,0.0
2020-01-07,ANTM,Aneka Tambang Tbk.,885.0,895.0,865.0,875.0,93750600,82216794000.0,576.911,0.0,880.0,940000,J,875.0,2206500,B,3.85,2.26,1.06,885.0
2020-01-07,APEX,Apexindo Pratama Duta Tbk.,336.0,332.0,332.0,332.0,100,33200.0,21.255,0.0,330.0,300,J,264.0,100,B,3.85,2.26,1.06,0.0
2020-01-07,APIC,Pacific Strategic Financial Tbk.,700.0,700.0,690.0,700.0,17354500,12062947500.0,744.555,0.0,700.0,111700,J,695.0,220200,B,3.85,2.26,1.06,0.0
2020-01-07,APII,Arita Prima Indonesia Tbk.,179.0,171.0,171.0,171.0,100,17100.0,77.728,0.0,174.0,100,J,165.0,5000,B,3.85,2.26,1.06,0.0
2020-01-07,APLI,Asiaplast Industries Tbk.,132.0,157.0,132.0,142.0,86000,12489000.0,118.334,0.0,145.0,1000,J,142.0,2500,B,3.85,2.26,1.06,0.0
2020-01-07,APLN,Agung Podomoro Land Tbk.,175.0,177.0,175.0,175.0,8621200,1514702300.0,47.946,0.0,176.0,707000,J,175.0,7235100,B,3.85,2.26,1.06,0.0
2020-01-07,APOL,Arpeni Pratama Ocean Line Tbk.,50.0,0.0,0.0,50.0,0,0.0,16.0,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,APOL-W2,Waran Seri II Arpeni Pratama Ocean Line,29.0,0.0,0.0,29.0,0,0.0,2900.0,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,ARGO,Argo Pantes Tbk,825.0,0.0,0.0,825.0,0,0.0,20.729,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,ARII,Atlas Resources Tbk.,715.0,0.0,0.0,715.0,0,0.0,47.667,0.0,710.0,10000,J,600.0,5000,B,3.85,2.26,1.06,0.0
2020-01-07,ARKA,Arkha Jayanti Persada Tbk.,2120.0,2140.0,2000.0,2120.0,1479000,3144762000.0,898.306,0.0,2120.0,400,J,2000.0,700,B,3.85,2.26,1.06,0.0
2020-01-07,ARMY,Armidian Karyatama Tbk.,50.0,0.0,0.0,50.0,0,0.0,16.667,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,ARNA,Arwana Citramulia Tbk.,436.0,456.0,440.0,446.0,1236800,552550600.0,3031.333,0.0,446.0,111100,J,442.0,45400,B,3.85,2.26,1.06,0.0
2020-01-07,ARTA,Arthavest Tbk,426.0,422.0,422.0,422.0,5000,2110000.0,244.794,0.0,420.0,600,J,322.0,100,B,3.85,2.26,1.06,0.0
2020-01-07,ARTI,Ratu Prabu Energi Tbk,50.0,50.0,50.0,50.0,11100,555000.0,12.252,0.0,50.0,156317600,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,ARTO,Bank Artos Indonesia Tbk.,2850.0,2850.0,2850.0,2850.0,18600,53010000.0,2159.091,0.0,3040.0,400,J,2840.0,1000,B,3.85,2.26,1.06,0.0
2020-01-07,ASBI,Asuransi Bintang Tbk.,304.0,304.0,292.0,304.0,400,120200.0,230.776,0.0,304.0,29100,J,292.0,100,B,3.85,2.26,1.06,0.0
2020-01-07,ASDM,Asuransi Dayin Mitra Tbk.,1095.0,1025.0,1015.0,1015.0,600,614000.0,299.809,0.0,1070.0,1700,J,1025.0,100,B,3.85,2.26,1.06,0.0
2020-01-07,ASGR,Astra Graphia Tbk.,945.0,965.0,935.0,965.0,350200,330792000.0,200.075,0.0,970.0,2200,J,960.0,2500,B,3.85,2.26,1.06,0.0
2020-01-07,ASII,Astra International Tbk.,6750.0,6825.0,6675.0,6775.0,27963000,188120780000.0,4844.927,0.0,6775.0,32800,J,6750.0,200,B,3.85,2.26,1.06,6800.0
2020-01-07,ASJT,Asuransi Jasa Tania Tbk.,129.0,136.0,125.0,130.0,120100,15627400.0,86.667,0.0,130.0,7600,J,129.0,2200,B,3.85,2.26,1.06,0.0
2020-01-07,ASMI,Asuransi Kresna Mitra Tbk.,1230.0,1235.0,1225.0,1235.0,46000,56619500.0,2287.038,0.0,1240.0,7900,J,1235.0,12600,B,3.85,2.26,1.06,0.0
2020-01-07,ASRI,Alam Sutera Realty Tbk.,234.0,238.0,232.0,236.0,3340600,783695400.0,224.762,0.0,236.0,1887400,J,234.0,8800,B,3.85,2.26,1.06,0.0
2020-01-07,ASRM,Asuransi Ramayana Tbk.,2010.0,0.0,0.0,2010.0,0,0.0,784.259,0.0,2010.0,300,J,1805.0,1000,B,3.85,2.26,1.06,0.0
2020-01-07,ASSA,Adi Sarana Armada Tbk.,690.0,705.0,680.0,690.0,8500300,5890155000.0,176.924,0.0,690.0,10800,J,685.0,299500,B,3.85,2.26,1.06,0.0
2020-01-07,ATIC,Anabatic Technologies Tbk.,615.0,0.0,0.0,615.0,0,0.0,87.858,0.0,625.0,400,J,570.0,1200,B,3.85,2.26,1.06,0.0
2020-01-07,AUTO,Astra Otoparts Tbk.,1260.0,1270.0,1245.0,1255.0,1125100,1407136000.0,1135.028,0.0,1260.0,49400,J,1255.0,600,B,3.85,2.26,1.06,0.0
2020-01-07,BABP,Bank MNC Internasional Tbk.,50.0,50.0,50.0,50.0,1500,75000.0,57.389,0.0,50.0,100055000,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,BABP-W3,Waran Seri IV Bank MNC Internasional Tbk,45.0,44.0,36.0,36.0,1000,40000.0,3600.0,0.0,43.0,900,J,36.0,100,B,3.85,2.26,1.06,0.0
2020-01-07,BABP-W4,Waran Seri V Bank MNC Internasional Tbk.,15.0,15.0,14.0,15.0,1601100,22633500.0,1500.0,0.0,15.0,1661400,J,14.0,1786100,B,3.85,2.26,1.06,0.0
2020-01-07,BACA,Bank Capital Indonesia Tbk.,308.0,310.0,308.0,308.0,4953600,1533998600.0,227.081,0.0,308.0,26200,J,306.0,119200,B,3.85,2.26,1.06,0.0
2020-01-07,BACA-W2,Waran Seri III Bank Capital Indonesia Tb,100.0,0.0,0.0,100.0,0,0.0,10000.0,0.0,0.0,0,J,2.0,100000,B,3.85,2.26,1.06,0.0
2020-01-07,BAJA,Saranacentral Bajatama Tbk.,64.0,65.0,62.0,62.0,704000,44151100.0,24.8,0.0,64.0,60000,J,62.0,22900,B,3.85,2.26,1.06,0.0
2020-01-07,BALI,Bali Towerindo Sentra Tbk.,870.0,950.0,935.0,935.0,4000,3771500.0,1168.75,0.0,940.0,58800,J,875.0,1100,B,3.85,2.26,1.06,0.0
2020-01-07,BAPA,Bekasi Asri Pemula Tbk.,70.0,72.0,71.0,71.0,700,50100.0,47.334,0.0,71.0,1600,J,65.0,300,B,3.85,2.26,1.06,0.0
2020-01-07,BAPI,Bhakti Agung Propertindo Tbk.,50.0,50.0,50.0,50.0,388900,19445000.0,33.334,0.0,50.0,62757100,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,BAPI-W,Waran Seri I Bhakti Agung Propertindo Tb,5.0,5.0,4.0,5.0,8081500,34786700.0,500.0,0.0,5.0,28516000,J,4.0,59570300,B,3.85,2.26,1.06,0.0
2020-01-07,BATA,Sepatu Bata Tbk.,640.0,640.0,630.0,635.0,75000,47548000.0,8236.058,0.0,635.0,1000,J,625.0,200,B,3.85,2.26,1.06,0.0
2020-01-07,BAYU,Bayu Buana Tbk,1190.0,1190.0,1100.0,1185.0,134600,157475000.0,146.169,0.0,1185.0,900,J,1150.0,2000,B,3.85,2.26,1.06,0.0
2020-01-07,BBCA,Bank Central Asia Tbk.,33675.0,33850.0,33650.0,33700.0,9004500,303482512500.0,19257.143,0.0,33700.0,1228000,J,33675.0,4100,B,3.85,2.26,1.06,33675.0
2020-01-07,BBHI,Bank Harda Internasional Tbk.,124.0,122.0,120.0,121.0,10400,1266200.0,96.8,0.0,121.0,68700,J,120.0,5500,B,3.85,2.26,1.06,0.0
2020-01-07,BBKP,Bank Bukopin Tbk.,230.0,238.0,226.0,234.0,5119100,1196613800.0,69.418,0.0,236.0,288200,J,234.0,442700,B,3.85,2.26,1.06,0.0
2020-01-07,BBLD,Buana Finance Tbk.,420.0,0.0,0.0,420.0,0,0.0,166.916,0.0,446.0,400,J,382.0,2000,B,3.85,2.26,1.06,0.0
2020-01-07,BBMD,Bank Mestika Dharma Tbk.,2810.0,2550.0,2400.0,2400.0,20500,50700000.0,173.914,0.0,2400.0,2000,J,2110.0,600,B,3.85,2.26,1.06,0.0
2020-01-07,BBNI,Bank Negara Indonesia (Persero) Tbk.,7625.0,7700.0,7525.0,7550.0,19024900,144379475000.0,36.313,0.0,7575.0,82400,J,7550.0,542000,B,3.85,2.26,1.06,7675.0
2020-01-07,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,4370.0,4410.0,4380.0,4400.0,103948100,457199315000.0,5028.572,0.0,4400.0,1465600,J,4390.0,11472700,B,3.85,2.26,1.06,4410.0
2020-01-07,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,50.0,50.0,50.0,50.0,204000,10200000.0,21.74,0.0,50.0,1123800,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-07,BBTN,Bank Tabungan Negara (Persero) Tbk.,2130.0,2140.0,2100.0,2120.0,18636600,39410454000.0,276.522,0.0,2130.0,1492200,J,2120.0,443400,B,3.85,2.26,1.06,2110.0
2020-01-07,BBYB,Bank Yudha Bhakti Tbk.,276.0,276.0,272.0,276.0,60300,16528200.0,281.002,0.0,276.0,45000,J,274.0,8200,B,3.85,2.26,1.06,0.0
2020-01-07,BCAP,MNC Kapital Indonesia Tbk.,138.0,140.0,136.0,140.0,120000,16625600.0,397.028,0.0,140.0,401800,J,139.0,10000,B,3.85,2.26,1.06,0.0
