STK_CDAT,STK_CODE,STK_NAME,STK_FIRST
2020-01-24,AALI,Astra Agro Lestari Tbk.,12425.0
2020-01-24,ABBA,Mahaka Media Tbk.,92.0
2020-01-24,ACES,Ace Hardware Indonesia Tbk.,1620.0
2020-01-24,ACST,Acset Indonusa Tbk.,935.0
2020-01-24,ADES,Akasha Wira International Tbk.,985.0
2020-01-24,ADHI,Adhi Karya (Persero) Tbk.,1100.0
2020-01-24,ADMF,Adira Dinamika Multi Finance Tbk.,10250.0
2020-01-24,ADMG,Polychem Indonesia Tbk,178.0
2020-01-24,ADRO,Adaro Energy Tbk.,1390.0
2020-01-24,AGAR,Asia Sejahtera Mina Tbk.,388.0
2020-01-24,AGII,Aneka Gas Industri Tbk.,605.0
2020-01-24,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,167.0
2020-01-24,AGRS,Bank IBK Indonesia Tbk.,158.0
2020-01-24,AHAP,Asuransi Harta Aman Pratama Tbk.,62.0
2020-01-24,AKRA,AKR Corporindo Tbk.,3390.0
2020-01-24,AKSI,Maming Enam Sembilan Mineral Tbk.,478.0
2020-01-24,ALDO,Alkindo Naratama Tbk.,402.0
2020-01-24,ALKA,Alakasa Industrindo Tbk,418.0
2020-01-24,ALMI,Alumindo Light Metal Industry Tbk.,350.0
2020-01-24,ALTO,Tri Banyan Tirta Tbk.,374.0
2020-01-24,AMAR,Bank Amar Indonesia Tbk.,496.0
2020-01-24,AMFG,Asahimas Flat Glass Tbk.,3330.0
2020-01-24,AMIN,Ateliers Mecaniques D Indonesie Tbk.,370.0
2020-01-24,AMOR,Ashmore Asset Management Indonesia Tbk.,2670.0
2020-01-24,AMRT,Sumber Alfaria Trijaya Tbk.,855.0
2020-01-24,ANDI,Andira Agro Tbk.,50.0
2020-01-24,ANJT,Austindo Nusantara Jaya Tbk.,870.0
2020-01-24,ANTM,Aneka Tambang Tbk.,780.0
2020-01-24,APEX,Apexindo Pratama Duta Tbk.,268.0
2020-01-24,APIC,Pacific Strategic Financial Tbk.,705.0
2020-01-24,APII,Arita Prima Indonesia Tbk.,212.0
2020-01-24,APLI,Asiaplast Industries Tbk.,169.0
2020-01-24,APLN,Agung Podomoro Land Tbk.,164.0
2020-01-24,ARII,Atlas Resources Tbk.,600.0
2020-01-24,ARKA,Arkha Jayanti Persada Tbk.,2000.0
2020-01-24,ARNA,Arwana Citramulia Tbk.,432.0
2020-01-24,ARTA,Arthavest Tbk,340.0
