STK_DATE,STK_CODE,STK_NAME,STK_PREV,STK_HIGH,STK_LOW,STK_CLOS,STK_VOLM,STK_AMNT,STK_INDX,STK_PIDX,STK_ASKP,STK_ASKV,STK_ASKF,STK_BIDP,STK_BIDV,STK_BIDF,STK_FHIG,STK_FLOW,STK_FCLO,STK_OPEN
2020-01-24,AALI,Astra Agro Lestari Tbk.,12425.0,12425.0,12025.0,12075.0,514300,6240960000.0,980.943,0.0,12125.0,1000,J,12075.0,39700,B,3.85,2.26,1.06,0.0
2020-01-24,ABBA,Mahaka Media Tbk.,92.0,95.0,91.0,91.0,6832200,632904600.0,159.65,0.0,92.0,126500,J,91.0,569500,B,3.85,2.26,1.06,0.0
2020-01-24,ABDA,Asuransi Bina Dana Arta Tbk.,6800.0,0.0,0.0,6800.0,0,0.0,1552.445,0.0,6800.0,100,J,5450.0,100,B,3.85,2.26,1.06,0.0
2020-01-24,ABMM,ABM Investama Tbk.,1480.0,0.0,0.0,1480.0,0,0.0,39.467,0.0,1475.0,1100,J,1170.0,200,B,3.85,2.26,1.06,0.0
2020-01-24,ACES,Ace Hardware Indonesia Tbk.,1620.0,1645.0,1610.0,1630.0,2521300,4097416000.0,1987.805,0.0,1630.0,130200,J,1625.0,3000,B,3.85,2.26,1.06,0.0
2020-01-24,ACST,Acset Indonusa Tbk.,980.0,970.0,935.0,965.0,1100,1049000.0,40.525,0.0,965.0,1000,J,930.0,300,B,3.85,2.26,1.06,0.0
2020-01-24,ADES,Akasha Wira International Tbk.,985.0,1000.0,935.0,990.0,16600,16272500.0,51.429,0.0,985.0,1800,J,980.0,1500,B,3.85,2.26,1.06,0.0
2020-01-24,ADHI,Adhi Karya (Persero) Tbk.,1090.0,1100.0,1085.0,1085.0,2544100,2774639000.0,852.097,0.0,1090.0,91500,J,1085.0,224000,B,3.85,2.26,1.06,0.0
2020-01-24,ADMF,Adira Dinamika Multi Finance Tbk.,10275.0,10300.0,10200.0,10250.0,3700,38002500.0,440.861,0.0,10300.0,21500,J,10250.0,1000,B,3.85,2.26,1.06,0.0
2020-01-24,ADMG,Polychem Indonesia Tbk,178.0,178.0,172.0,175.0,146600,25566700.0,15.621,0.0,175.0,16400,J,174.0,50600,B,3.85,2.26,1.06,0.0
2020-01-24,ADRO,Adaro Energy Tbk.,1380.0,1395.0,1370.0,1380.0,14852500,20488712000.0,125.455,0.0,1385.0,459300,J,1380.0,362500,B,3.85,2.26,1.06,1390.0
2020-01-24,AGAR,Asia Sejahtera Mina Tbk.,392.0,390.0,388.0,388.0,197500,76824400.0,352.728,0.0,388.0,300,J,386.0,30000,B,3.85,2.26,1.06,0.0
2020-01-24,AGII,Aneka Gas Industri Tbk.,605.0,605.0,600.0,600.0,155400,93546000.0,54.546,0.0,610.0,4000,J,600.0,3300,B,3.85,2.26,1.06,0.0
2020-01-24,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,167.0,172.0,167.0,168.0,2099500,355058200.0,274.474,0.0,170.0,58600,J,167.0,62400,B,3.85,2.26,1.06,0.0
2020-01-24,AGRS,Bank IBK Indonesia Tbk.,157.0,165.0,158.0,163.0,6700,1069800.0,148.182,0.0,162.0,2700,J,159.0,10000,B,3.85,2.26,1.06,0.0
2020-01-24,AHAP,Asuransi Harta Aman Pratama Tbk.,63.0,65.0,59.0,59.0,2051300,123490900.0,222.449,0.0,60.0,80600,J,59.0,221800,B,3.85,2.26,1.06,0.0
2020-01-24,AIMS,Akbar Indo Makmur Stimec Tbk,180.0,0.0,0.0,180.0,0,0.0,144.0,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-24,AISA,Tiga Pilar Sejahtera Food Tbk.,168.0,0.0,0.0,168.0,0,0.0,20.449,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-24,AKKU,Anugerah Kagum Karya Utama Tbk.,50.0,0.0,0.0,50.0,0,0.0,75.894,0.0,50.0,1063700,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-01-24,AKPI,Argha Karya Prima Industry Tbk.,382.0,0.0,0.0,382.0,0,0.0,50.39,0.0,430.0,1200,J,370.0,1000,B,3.85,2.26,1.06,0.0
2020-01-24,AKRA,AKR Corporindo Tbk.,3380.0,3540.0,3390.0,3490.0,17967600,61991121000.0,2781.52,0.0,3490.0,289700,J,3480.0,91900,B,3.85,2.26,1.06,3390.0
2020-01-24,AKSI,Maming Enam Sembilan Mineral Tbk.,478.0,510.0,468.0,500.0,510900,240311100.0,250.0,0.0,500.0,2100,J,462.0,100,B,3.85,2.26,1.06,0.0
2020-01-24,ALDO,Alkindo Naratama Tbk.,402.0,406.0,398.0,406.0,79100,31646200.0,297.561,0.0,406.0,9700,J,380.0,200,B,3.85,2.26,1.06,0.0
2020-01-24,ALKA,Alakasa Industrindo Tbk,398.0,450.0,390.0,398.0,7800,3386800.0,67.004,0.0,396.0,2800,J,322.0,100,B,3.85,2.26,1.06,0.0
2020-01-24,ALMI,Alumindo Light Metal Industry Tbk.,308.0,350.0,348.0,348.0,200,69800.0,53.539,0.0,348.0,3200,J,302.0,5000,B,3.85,2.26,1.06,0.0
2020-01-24,ALTO,Tri Banyan Tirta Tbk.,374.0,374.0,374.0,374.0,14000000,5236000000.0,186.855,0.0,390.0,5000,J,282.0,400,B,3.85,2.26,1.06,0.0
2020-01-24,AMAG,Asuransi Multi Artha Guna Tbk.,304.0,0.0,0.0,304.0,0,0.0,289.524,0.0,304.0,1100,J,230.0,500,B,3.85,2.26,1.06,0.0
