STK_CODE,STK_NAME,STK_LIST,STK_100PC,FORE_SELL,FORE_BUY
EPMT,Enseval Putera Megatrading Tbk.,2708640000,2708640000,0,0
ERAA,Erajaya Swasembada Tbk.,3190000000,3190000000,469900,162600
ERTX,Eratex Djaja Tbk.,1286539792,1286539792,0,0
ESIP,Sinergi Inti Plastindo Tbk.,640000000,640000000,0,0
ESSA,Surya Esa Perkasa Tbk.,14300000000,14300000000,3100,100000
ESTI,Ever Shine Tex Tbk.,2015208720,2015208720,0,0
ETWA,Eterindo Wahanatama Tbk,968297000,968297000,0,0
EXCL,XL Axiata Tbk.,10687960423,10687960423,2696590,1138490
FAST,Fast Food Indonesia Tbk.,1995138579,1995138579,0,0
FASW,Fajar Surya Wisesa Tbk.,2477888787,2477888787,0,0
FILM,MD Pictures Tbk.,9511217000,9511217000,30000,274500
FINN,First Indo American Leasing Tbk.,1860225000,1860225000,0,0
FIRE,Alfa Energi Investama Tbk.,1475363179,1475363179,425500,456300
FISH,FKS Multi Agro Tbk.,480000000,480000000,0,0
FITT,Hotel Fitra International Tbk.,600000000,600000000,0,0
FMII,Fortune Mate Indonesia Tbk,2721000000,2721000000,0,0
FOOD,Sentra Food Indonesia Tbk.,650000000,650000000,0,0
FORU,Fortune Indonesia Tbk,465224000,465224000,0,0
FORZ,Forza Land Indonesia Tbk.,1984009887,1984009887,0,0
FPNI,Lotte Chemical Titan Tbk.,5566414000,5566414000,0,0
FREN,Smartfren Telecom Tbk.,217964239613,217964239613,1088800,936600
FUJI,Fuji Finance Indonesia Tbk.,1105000000,1105000000,29300,7056300
GAMA,Gading Development Tbk.,10011027656,10011027656,0,200000
GDST,Gunawan Dianjaya Steel Tbk.,9242500000,9242500000,5000,0
GDYR,Goodyear Indonesia Tbk.,410000000,410000000,0,0
GEMA,Gema Grahasarana Tbk.,1600000000,1600000000,0,0
GEMS,Golden Energy Mines Tbk.,5882353000,5882353000,0,0
GGRM,Gudang Garam Tbk.,1924088000,1924088000,974200,1464300
GGRP,Gunung Raja Paksi Tbk.,12111376157,12111376157,2200,0
GHON,Gihon Telekomunikasi Indonesia Tbk.,550000000,550000000,0,0
GIAA,Garuda Indonesia (Persero) Tbk.,25886576254,25886576254,119200,114400
GJTL,Gajah Tunggal Tbk.,3484800000,3484800000,627400,22500
GLOB,Global Teleshop Tbk.,1111112000,1111112000,0,0
GLVA,Galva Technologies Tbk.,1500000000,1500000000,0,0
GMFI,Garuda Maintenance Facility Aero Asia Tb,28233511500,28233511500,0,0
GMTD,Gowa Makassar Tourism Development Tbk.,101538000,101538000,1000,0
GOLD,Visi Telekomunikasi Infrastruktur Tbk.,1277276000,1277276000,0,160400
GOLL,Golden Plantation Tbk.,3665000759,3665000759,0,0
GOOD,Garudafood Putra Putri Jaya Tbk.,7379580291,7379580291,0,0
GPRA,Perdana Gapuraprima Tbk.,4276655336,4276655336,0,0
GREN,Evergreen Invesco Tbk.,4694111791,4694111791,0,0
GSMF,Equity Development Investment Tbk.,7454723337,7454723337,0,0
GTBO,Garda Tujuh Buana Tbk,2500000000,2500000000,0,0
GWSA,Greenwood Sejahtera Tbk.,7800760000,7800760000,0,0
GZCO,Gozco Plantations Tbk.,6000000000,6000000000,0,0
HADE,Himalaya Energi Perkasa Tbk.,2120000000,2120000000,0,0
HDFA,Radana Bhaskara Finance Tbk.,6096972783,6096972783,0,0
HDIT,Hensel Davest Indonesia Tbk.,1524680000,1524680000,0,0
HDTX,Panasia Indo Resources Tbk.,3601462800,3601462800,0,0
HEAL,Medikaloka Hermina Tbk.,2973000000,2973000000,22300,47500
HELI,Jaya Trishindo Tbk.,819000000,819000000,0,0
HERO,Hero Supermarket Tbk.,4183634000,4183634000,0,0
HEXA,Hexindo Adiperkasa Tbk.,840000000,840000000,39600,3300
HITS,Humpuss Intermoda Transportasi Tbk.,7101084801,7101084801,0,0
HKMU,HK Metals Utama Tbk.,3221750000,3221750000,4500,0
HMSP,H.M. Sampoerna Tbk.,116318076900,116318076900,10528720,6793920
HOKI,Buyung Poetra Sembada Tbk.,2378407400,2378407400,667000,30100
HOME,Hotel Mandarine Regency Tbk.,22212194782,22212194782,0,0
HOTL,Saraswati Griya Lestari Tbk.,3550001452,3550001452,0,0
HRME,Menteng Heritage Realty Tbk.,5958750000,5958750000,8000,28000
HRTA,Hartadinata Abadi Tbk.,4605262400,4605262400,0,0
HRUM,Harum Energy Tbk.,2703620000,2703620000,1400,0
IATA,Indonesia Transport & Infrastructure Tbk,10697665114,10697665114,62330900,0
IBFN,Intan Baruprana Finance Tbk.,1517321249,1517321249,0,0
IBST,Inti Bangun Sejahtera Tbk.,1350904927,1350904927,0,0
ICBP,Indofood CBP Sukses Makmur Tbk.,11661908000,11661908000,491353,351153
ICON,Island Concepts Indonesia Tbk.,1089750000,1089750000,0,0
IDPR,Indonesia Pondasi Raya Tbk.,2003000000,2003000000,217900,0
IFII,Indonesia Fibreboard Industry Tbk.,9412000000,9412000000,0,0
IFSH,Ifishdeco Tbk.,2125000000,2125000000,0,0
IGAR,Champion Pacific Indonesia Tbk.,972204500,972204500,0,0
IIKP,Inti Agri Resources Tbk,33600000000,33600000000,0,0
IKAI,Intikeramik Alamasri Industri Tbk.,13305799387,13305799387,36600,78600
IKBI,Sumi Indo Kabel Tbk.,1224000000,1224000000,0,0
IMAS,Indomobil Sukses Internasional Tbk.,2765278412,2765278412,0,2600
IMJS,Indomobil Multi Jasa Tbk.,5769550000,5769550000,0,0
IMPC,Impack Pratama Industri Tbk.,4833500000,4833500000,0,0
INAF,Indofarma (Persero) Tbk.,3099267500,3099267500,171300,202700
INAI,Indal Aluminium Industry Tbk.,633600000,633600000,0,0
INCF,Indo Komoditi Korpora Tbk.,1438370465,1438370465,0,0
INCI,Intanwijaya Internasional Tbk,196121237,196121237,0,0
INCO,Vale Indonesia Tbk.,9936338720,9936338720,752300,601700
INDF,Indofood Sukses Makmur Tbk.,8780426500,8780426500,1417850,2305950
INDO,Royalindo Investa Wijaya Tbk.,4309100000,4309100000,0,0
INDR,Indo-Rama Synthetics Tbk.,654351707,654351707,0,0
INDS,Indospring Tbk.,656249710,656249710,8100,0
INDX,Tanah Laut Tbk,437913588,437913588,0,0
INDY,Indika Energy Tbk.,5210192000,5210192000,44100,50000
INKP,Indah Kiat Pulp & Paper Tbk.,5470982941,5470982941,559900,308900
INOV,Inocycle Technology Group Tbk.,1808221900,1808221900,0,0
INPC,Bank Artha Graha Internasional Tbk.,15638233267,15638233267,0,0
INPP,Indonesian Paradise Property Tbk.,11181971732,11181971732,0,0
INPS,Indah Prakasa Sentosa Tbk.,650000000,650000000,0,0
INRU,Toba Pulp Lestari Tbk.,1388883283,1388883283,0,0
INTA,Intraco Penta Tbk.,3339642762,3339642762,0,0
INTD,Inter Delta Tbk,591828000,591828000,0,0
INTP,Indocement Tunggal Prakarsa Tbk.,3681231699,3681231699,1747800,1782100
IPCC,Indonesia Kendaraan Terminal Tbk.,1818384820,1818384820,0,0
IPCM,Jasa Armada Indonesia Tbk.,5284811100,5284811100,0,0
IPOL,Indopoly Swakarsa Industry Tbk.,6443379509,6443379509,0,0
IPTV,MNC Vision Networks Tbk.,36335997039,36335997039,0,2372700
IRRA,Itama Ranoraya Tbk.,1600000000,1600000000,0,0
ISAT,Indosat Tbk.,5433933500,5433933500,223400,318400
ISSP,Steel Pipe Industry of Indonesia Tbk.,7185992035,7185992035,0,0
ITIC,Indonesian Tobacco Tbk.,940720000,940720000,1000,6400
ITMA,Sumber Energi Andalan Tbk.,870701000,870701000,0,0
ITMG,Indo Tambangraya Megah Tbk.,1129925000,1129925000,241300,194700
JAST,Jasnita Telekomindo Tbk.,813626700,813626700,10000,0
JAWA,Jaya Agra Wattie Tbk.,3774685500,3774685500,0,0
JAYA,Armada Berjaya Trans Tbk.,375000105,375000105,0,205500
JECC,Jembo Cable Company Tbk.,151200000,151200000,0,0
JGLE,Graha Andrasentra Propertindo Tbk.,22581909405,22581909405,0,0
JIHD,Jakarta International Hotels & Developme,2329040482,2329040482,0,0
JKON,Jaya Konstruksi Manggala Pratama Tbk.,16308519860,16308519860,0,0
JKSW,Jakarta Kyoei Steel Works Tbk.,150000000,150000000,0,0
JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi T,1000000000,1000000000,0,0
JPFA,Japfa Comfeed Indonesia Tbk.,11726575201,11726575201,3064000,1305800
JRPT,Jaya Real Property Tbk.,13750000000,13750000000,128300,772500
JSKY,Sky Energy Indonesia Tbk.,2032540000,2032540000,510000,97700
JSMR,Jasa Marga (Persero) Tbk.,7257871200,7257871200,162300,48000
JSPT,Jakarta Setiabudi Internasional Tbk.,2318736000,2318736000,0,0
JTPE,Jasuindo Tiga Perkasa Tbk.,1713012500,1713012500,0,0
KAEF,Kimia Farma (Persero) Tbk.,5554000000,5554000000,48000,638200
KARW,ICTSI Jasa Prima Tbk.,587152700,587152700,0,0
KAYU,Darmi Bersaudara Tbk.,665000000,665000000,0,0
KBLI,KMI Wire & Cable Tbk.,4007235107,4007235107,1042300,81300
KBLM,Kabelindo Murni Tbk.,1120000000,1120000000,0,0
KBLV,First Media Tbk.,1742167907,1742167907,0,0
KBRI,Kertas Basuki Rachmat Indonesia Tbk.,8687995734,8687995734,0,0
KDSI,Kedawung Setia Industrial Tbk.,405000000,405000000,0,0
KEEN,Kencana Energi Lestari Tbk.,3666312500,3666312500,270000,0
KEJU,Mulia Boga Raya Tbk.,1500000000,1500000000,0,0
KIAS,Keramika Indonesia Assosiasi Tbk.,14929100000,14929100000,0,0
KICI,Kedaung Indah Can Tbk,276000000,276000000,0,0
KIJA,Kawasan Industri Jababeka Tbk.,20824888369,20824888369,0,0
KINO,Kino Indonesia Tbk.,1428571500,1428571500,247800,752800
KIOS,Kioson Komersial Indonesia Tbk.,717239900,717239900,0,3100
KJEN,Krida Jaringan Nusantara Tbk.,500000000,500000000,0,0
KKGI,Resource Alam Indonesia Tbk.,5000000000,5000000000,4000,0
KLBF,Kalbe Farma Tbk.,46875122110,46875122110,6189400,2187700
KMTR,Kirana Megatara Tbk.,8215366379,8215366379,0,0
KOBX,Kobexindo Tractors Tbk.,2272500000,2272500000,0,0
KOIN,Kokoh Inti Arebama Tbk,980843732,980843732,0,0
KONI,Perdana Bangun Pusaka Tbk,152000000,152000000,0,0
KOPI,Mitra Energi Persada Tbk.,697266668,697266668,0,0
KOTA,DMS Propertindo Tbk.,10506955600,10506955600,2120000,20000
KPAL,Steadfast Marine Tbk.,1069009400,1069009400,0,0
KPAS,Cottonindo Ariesta Tbk.,768042782,768042782,0,0
KPIG,MNC Land Tbk.,80625726664,80625726664,0,124300
KRAH,Grand Kartech Tbk.,971190000,971190000,0,0
KRAS,Krakatau Steel (Persero) Tbk.,19346396900,19346396900,30000,0
KREN,Kresna Graha Investama Tbk.,18208470100,18208470100,42200,884200
LAND,Trimitra Propertindo Tbk.,2792620000,2792620000,0,0
LAPD,Leyand International Tbk.,3966350139,3966350139,0,0
LCGP,Eureka Prima Jakarta Tbk.,5630000914,5630000914,0,0
LCKM,LCK Global Kedaton Tbk.,1000000000,1000000000,22300,5100
LEAD,Logindo Samudramakmur Tbk.,4049616328,4049616328,0,0
LIFE,Asuransi Jiwa Sinarmas MSIG Tbk.,2100000000,2100000000,0,0
LINK,Link Net Tbk.,2863195484,2863195484,515200,5000
LION,Lion Metal Works Tbk.,520160000,520160000,0,0
LMAS,Limas Indonesia Makmur Tbk,787851525,787851525,54300,43300
