STK_DATE,STK_CODE,STK_NAME,STK_PREV,STK_HIGH,STK_LOW,STK_CLOS,STK_VOLM,STK_AMNT,STK_INDX,STK_PIDX,STK_ASKP,STK_ASKV,STK_ASKF,STK_BIDP,STK_BIDV,STK_BIDF,STK_FHIG,STK_FLOW,STK_FCLO,STK_OPEN
2020-02-07,AALI,Astra Agro Lestari Tbk.,12125.0,12225.0,11800.0,12050.0,635000,7609127500.0,978.912,0.0,12050.0,27200,J,12025.0,5100,B,3.85,2.26,1.06,0.0
2020-02-07,ABBA,Mahaka Media Tbk.,70.0,74.0,69.0,69.0,19041000,1353012300.0,121.053,0.0,70.0,82500,J,69.0,842600,B,3.85,2.26,1.06,0.0
2020-02-07,ABDA,Asuransi Bina Dana Arta Tbk.,6800.0,0.0,0.0,6800.0,0,0.0,1552.445,0.0,7000.0,1000,J,5450.0,100,B,3.85,2.26,1.06,0.0
2020-02-07,ABMM,ABM Investama Tbk.,1485.0,0.0,0.0,1485.0,0,0.0,39.6,0.0,1470.0,400,J,1150.0,100,B,3.85,2.26,1.06,0.0
2020-02-07,ACES,Ace Hardware Indonesia Tbk.,1640.0,1680.0,1610.0,1680.0,26416900,44103439000.0,2048.781,0.0,1680.0,2238000,J,1675.0,26900,B,3.85,2.26,1.06,1640.0
2020-02-07,ACST,Acset Indonusa Tbk.,855.0,855.0,780.0,790.0,1133600,919427500.0,33.176,0.0,790.0,1200,J,785.0,142200,B,3.85,2.26,1.06,0.0
2020-02-07,ADES,Akasha Wira International Tbk.,960.0,960.0,940.0,955.0,2500,2393500.0,49.611,0.0,955.0,5100,J,950.0,7000,B,3.85,2.26,1.06,0.0
2020-02-07,ADHI,Adhi Karya (Persero) Tbk.,1045.0,1055.0,1030.0,1030.0,3352000,3485020000.0,808.903,0.0,1035.0,68300,J,1030.0,53800,B,3.85,2.26,1.06,0.0
2020-02-07,ADMF,Adira Dinamika Multi Finance Tbk.,10000.0,10100.0,9950.0,10075.0,110100,1106200000.0,433.334,0.0,10100.0,6400,J,10075.0,2800,B,3.85,2.26,1.06,0.0
2020-02-07,ADMG,Polychem Indonesia Tbk,148.0,148.0,145.0,146.0,595900,86843400.0,13.032,0.0,147.0,24100,J,145.0,160300,B,3.85,2.26,1.06,0.0
2020-02-07,ADRO,Adaro Energy Tbk.,1305.0,1315.0,1285.0,1305.0,15026100,19581510500.0,118.637,0.0,1310.0,398300,J,1305.0,1841800,B,3.85,2.26,1.06,1285.0
2020-02-07,AGAR,Asia Sejahtera Mina Tbk.,442.0,456.0,438.0,442.0,329700,144427400.0,401.819,0.0,442.0,3300,J,438.0,2000,B,3.85,2.26,1.06,0.0
2020-02-07,AGII,Aneka Gas Industri Tbk.,585.0,595.0,570.0,575.0,17300,10126500.0,52.273,0.0,590.0,800,J,575.0,19700,B,3.85,2.26,1.06,0.0
2020-02-07,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,153.0,157.0,152.0,153.0,2128500,328107100.0,249.968,0.0,154.0,148100,J,153.0,7800,B,3.85,2.26,1.06,0.0
2020-02-07,AGRS,Bank IBK Indonesia Tbk.,150.0,155.0,150.0,150.0,400,60500.0,136.364,0.0,156.0,1500,J,150.0,151400,B,3.85,2.26,1.06,0.0
2020-02-07,AHAP,Asuransi Harta Aman Pratama Tbk.,56.0,58.0,54.0,56.0,247200,13698900.0,211.138,0.0,56.0,50100,J,55.0,45800,B,3.85,2.26,1.06,0.0
2020-02-07,AIMS,Akbar Indo Makmur Stimec Tbk,180.0,0.0,0.0,180.0,0,0.0,144.0,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-02-07,AISA,Tiga Pilar Sejahtera Food Tbk.,168.0,0.0,0.0,168.0,0,0.0,20.449,0.0,0.0,0,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-02-07,AKKU,Anugerah Kagum Karya Utama Tbk.,50.0,50.0,50.0,50.0,1000,50000.0,75.894,0.0,50.0,1643800,J,0.0,0,B,3.85,2.26,1.06,0.0
2020-02-07,AKPI,Argha Karya Prima Industry Tbk.,340.0,0.0,0.0,340.0,0,0.0,44.85,0.0,370.0,100,J,336.0,3000,B,3.85,2.26,1.06,0.0
2020-02-07,AKRA,AKR Corporindo Tbk.,3310.0,3430.0,3280.0,3400.0,14479900,48611631000.0,2709.79,0.0,3400.0,80700,J,3390.0,69000,B,3.85,2.26,1.06,3310.0
2020-02-07,AKSI,Maming Enam Sembilan Mineral Tbk.,446.0,424.0,424.0,424.0,9500,4028000.0,212.0,0.0,444.0,117000,J,426.0,100,B,3.85,2.26,1.06,0.0
2020-02-07,ALDO,Alkindo Naratama Tbk.,470.0,480.0,410.0,454.0,10400,4907400.0,332.74,0.0,470.0,5000,J,418.0,100,B,3.85,2.26,1.06,0.0
2020-02-07,ALKA,Alakasa Industrindo Tbk,330.0,328.0,328.0,328.0,100,32800.0,55.219,0.0,328.0,3000,J,286.0,500,B,3.85,2.26,1.06,0.0
2020-02-07,ALMI,Alumindo Light Metal Industry Tbk.,320.0,318.0,318.0,318.0,500,159000.0,48.924,0.0,318.0,2000,J,280.0,400,B,3.85,2.26,1.06,0.0
