STK_CODE,STK_NAME,STK_LIST,STK_100PC,FORE_SELL,FORE_BUY
AALI,Astra Agro Lestari Tbk.,1924688333,1924688333,5780500,9499600
ABBA,Mahaka Media Tbk.,2755125000,2755125000,0,0
ABDA,Asuransi Bina Dana Arta Tbk.,620806680,620806680,0,0
ABMM,ABM Investama Tbk.,2753165000,2753165000,0,0
ACES,Ace Hardware Indonesia Tbk.,17150000000,17150000000,37261200,33549400
ACST,Acset Indonusa Tbk.,700000000,700000000,508800,0
ADES,Akasha Wira International Tbk.,589896800,589896800,0,0
ADHI,Adhi Karya (Persero) Tbk.,3560849376,3560849376,26372332,8656000
ADMF,Adira Dinamika Multi Finance Tbk.,1000000000,1000000000,2800,100500
ADMG,Polychem Indonesia Tbk,3889179559,3889179559,0,0
ADRO,Adaro Energy Tbk.,31985962000,31985962000,46776399,73049699
AGAR,Asia Sejahtera Mina Tbk.,1000000000,1000000000,0,0
AGII,Aneka Gas Industri Tbk.,3066660000,3066660000,0,0
AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,21129857328,21129857328,0,374600
AGRS,Bank IBK Indonesia Tbk.,11154923542,11154923542,0,0
AHAP,Asuransi Harta Aman Pratama Tbk.,2940000000,2940000000,0,0
AIMS,Akbar Indo Makmur Stimec Tbk,220000000,220000000,0,0
AISA,Tiga Pilar Sejahtera Food Tbk.,4787500000,4787500000,0,0
AKKU,Anugerah Kagum Karya Utama Tbk.,6449463636,6449463636,0,0
AKPI,Argha Karya Prima Industry Tbk.,680000000,680000000,0,0
AKRA,AKR Corporindo Tbk.,4014694920,4014694920,3004500,1480300
AKSI,Maming Enam Sembilan Mineral Tbk.,720000000,720000000,5500,12500
ALDO,Alkindo Naratama Tbk.,1100000000,1100000000,0,0
ALKA,Alakasa Industrindo Tbk,507665055,507665055,0,0
ALMI,Alumindo Light Metal Industry Tbk.,616000000,616000000,0,0
ALTO,Tri Banyan Tirta Tbk.,2191870558,2191870558,0,0
AMAG,Asuransi Multi Artha Guna Tbk.,5001552516,5001552516,0,0
AMAN,Makmur Berkah Amanda Tbk.,3873500000,3873500000,0,0
AMAR,Bank Amar Indonesia Tbk.,7954749000,7954749000,0,0
AMFG,Asahimas Flat Glass Tbk.,434000000,434000000,0,0
AMIN,Ateliers Mecaniques D Indonesie Tbk.,1080000000,1080000000,0,0
AMOR,Ashmore Asset Management Indonesia Tbk.,1111111200,1111111200,100,0
AMRT,Sumber Alfaria Trijaya Tbk.,41524501700,41524501700,93235100,93235100
ANDI,Andira Agro Tbk.,9350000000,9350000000,0,0
ANJT,Austindo Nusantara Jaya Tbk.,3354175000,3354175000,4600,0
ANTM,Aneka Tambang Tbk.,24030764725,24030764725,13064600,38290500
APEX,Apexindo Pratama Duta Tbk.,2659850000,2659850000,39000,0
APIC,Pacific Strategic Financial Tbk.,11766313488,11766313488,50744100,72591200
APII,Arita Prima Indonesia Tbk.,1075760000,1075760000,0,0
APLI,Asiaplast Industries Tbk.,1362671400,1362671400,0,0
APLN,Agung Podomoro Land Tbk.,22699326779,22699326779,1036200,850500
ARGO,Argo Pantes Tbk,335557450,335557450,0,0
ARII,Atlas Resources Tbk.,3000000000,3000000000,0,0
ARKA,Arkha Jayanti Persada Tbk.,2000000000,2000000000,0,0
ARMY,Armidian Karyatama Tbk.,9006250000,9006250000,0,0
ARNA,Arwana Citramulia Tbk.,7341430976,7341430976,407700,0
ARTA,Arthavest Tbk,446674175,446674175,0,0
ARTI,Ratu Prabu Energi Tbk,7840000000,7840000000,0,0
ARTO,Bank Artos Indonesia Tbk.,10747687500,10747687500,0,0
ASBI,Asuransi Bintang Tbk.,348386472,348386472,0,0
ASDM,Asuransi Dayin Mitra Tbk.,192000000,192000000,0,0
ASGR,Astra Graphia Tbk.,1348780500,1348780500,0,0
ASII,Astra International Tbk.,40483553140,40483553140,101922029,133692733
ASJT,Asuransi Jasa Tania Tbk.,600000000,600000000,0,0
ASMI,Asuransi Kresna Mitra Tbk.,8958380460,8958380460,0,0
ASPI,Andalan Sakti Primaindo Tbk.,680000000,680000000,530200,0
ASRI,Alam Sutera Realty Tbk.,19649411888,19649411888,132979800,37386500
ASRM,Asuransi Ramayana Tbk.,234064634,234064634,100,0
ASSA,Adi Sarana Armada Tbk.,3397500000,3397500000,576800,387700
ATIC,Anabatic Technologies Tbk.,2315361355,2315361355,0,0
AUTO,Astra Otoparts Tbk.,4819733000,4819733000,0,132000
AYLS,Agro Yasa Lestari Tbk.,853423200,853423200,0,0
BABP,Bank MNC Internasional Tbk.,25061669637,25061669637,0,0
BACA,Bank Capital Indonesia Tbk.,6999771107,6999771107,19000,0
BAJA,Saranacentral Bajatama Tbk.,1800000000,1800000000,0,0
BALI,Bali Towerindo Sentra Tbk.,3934592500,3934592500,0,0
BAPA,Bekasi Asri Pemula Tbk.,661784520,661784520,0,0
BAPI,Bhakti Agung Propertindo Tbk.,5591740000,5591740000,0,0
BATA,Sepatu Bata Tbk.,1300000000,1300000000,0,100
BAYU,Bayu Buana Tbk,353220780,353220780,0,0
BBCA,Bank Central Asia Tbk.,24408459900,24408459900,77214842,74450606
BBHI,Bank Harda Internasional Tbk.,4142587477,4142587477,0,0
BBKP,Bank Bukopin Tbk.,11535389661,11535389661,18000000,0
BBLD,Buana Finance Tbk.,1645796054,1645796054,0,0
BBMD,Bank Mestika Dharma Tbk.,4049189100,4049189100,300,0
BBNI,Bank Negara Indonesia (Persero) Tbk.,18462169893,18462169893,63480850,61624715
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,122112351900,122112351900,311151240,755599292
BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,5367076248,5367076248,0,50000
BBSS,Bumi Benowo Sukses Sejahtera Tbk.,4800000000,4800000000,0,0
BBTN,Bank Tabungan Negara (Persero) Tbk.,10484100000,10484100000,430707938,233769500
BBYB,Bank Yudha Bhakti Tbk.,6100164280,6100164280,0,410000
BCAP,MNC Kapital Indonesia Tbk.,39760851927,39760851927,34200,76300
BCIC,Bank JTrust Indonesia Tbk.,9912003256,9912003256,0,0
BCIP,Bumi Citra Permai Tbk.,1429915525,1429915525,0,0
BDMN,Bank Danamon Indonesia Tbk.,9675817341,9675817341,2018100,124700
BEEF,Estika Tata Tiara Tbk.,1884312565,1884312565,0,0
BEKS,Bank Pembangunan Daerah Banten Tbk.,63468336053,63468336053,0,0
BELL,Trisula Textile Industries Tbk.,1450000000,1450000000,0,0
BESS,Batulicin Nusantara Maritim Tbk.,3400000000,3400000000,0,0
BEST,Bekasi Fajar Industrial Estate Tbk.,9647311150,9647311150,1910300,4318400
BFIN,BFI Finance  Indonesia Tbk.,15967115620,15967115620,3777500,3603300
BGTG,Bank Ganesha Tbk.,11063309400,11063309400,0,0
BHAT,Bhakti Multi Artha Tbk.,5000000000,5000000000,0,0
BHIT,MNC Investama Tbk.,67767400934,67767400934,65000,0
BIKA,Binakarya Jaya Abadi Tbk.,592280000,592280000,0,0
BIMA,Primarindo Asia Infrastructure Tbk.,608175716,608175716,0,0
BINA,Bank Ina Perdana Tbk.,5597831250,5597831250,0,0
BIPI,Astrindo Nusantara Infrastruktur Tbk.,44693066193,44693066193,0,0
BIPP,Bhuwanatala Indah Permai Tbk.,5028669338,5028669338,0,0
BIRD,Blue Bird Tbk.,2502100000,2502100000,0,1174500
BISI,BISI International Tbk.,3000000000,3000000000,0,0
BJBR,Bank Pembangunan Daerah Jawa Barat dan B,9740399289,9740399289,842100,2387800
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,14865343101,14865343101,4449500,2734500
BKDP,Bukit Darmo Property Tbk,7513992252,7513992252,0,0
BKSL,Sentul City Tbk.,67083561082,67083561082,0,0
BKSW,Bank QNB Indonesia Tbk.,20232319124,20232319124,0,0
BLTA,Berlian Laju Tanker Tbk,25940187103,25940187103,0,0
BLTZ,Graha Layar Prima Tbk.,873937142,873937142,0,0
BLUE,Berkah Prima Perkasa Tbk.,418000000,418000000,0,0
BM05,Benchmark Bond 05,1,1,0,0
BM10,Benchmark Bond 10,1,1,0,0
BMAS,Bank Maspion Indonesia Tbk.,4399026922,4399026922,0,0
BMRI,Bank Mandiri (Persero) Tbk.,46199999998,46199999998,100466498,133051272
BMSR,Bintang Mitra Semestaraya Tbk,1159200024,1159200024,0,0
BMTR,Global Mediacom Tbk.,15334511286,15334511286,48731200,25599000
BNBA,Bank Bumi Arta Tbk.,2286900000,2286900000,100000,18000
BNBR,Bakrie & Brothers Tbk,20863053480,20863053480,0,0
BNGA,Bank CIMB Niaga Tbk.,24880290775,24880290775,100,1285800
BNII,Bank Maybank Indonesia Tbk.,75357433911,75357433911,100,0
BNLI,Bank Permata Tbk.,27762311813,27762311813,26881,11106481
BOGA,Bintang Oto Global Tbk.,3803526210,3803526210,24786100,50069700
BOLA,Bali Bintang Sejahtera Tbk.,6000000000,6000000000,0,0
