STK_CDAT,STK_CODE,STK_NAME,STK_FIRST
2020-01-07,AALI,Astra Agro Lestari Tbk.,13500.0
2020-01-07,ABBA,Mahaka Media Tbk.,104.0
2020-01-07,ACES,Ace Hardware Indonesia Tbk.,1470.0
2020-01-07,ACST,Acset Indonusa Tbk.,1000.0
2020-01-07,ADES,Akasha Wira International Tbk.,1050.0
2020-01-07,ADHI,Adhi Karya (Persero) Tbk.,1190.0
2020-01-07,ADMF,Adira Dinamika Multi Finance Tbk.,10350.0
2020-01-07,ADMG,Polychem Indonesia Tbk,188.0
2020-01-07,ADRO,Adaro Energy Tbk.,1480.0
2020-01-07,AGAR,Asia Sejahtera Mina Tbk.,358.0
2020-01-07,AGII,Aneka Gas Industri Tbk.,645.0
2020-01-07,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,196.0
2020-01-07,AGRS,Bank IBK Indonesia Tbk.,141.0
2020-01-07,AHAP,Asuransi Harta Aman Pratama Tbk.,59.0
2020-01-07,AKKU,Anugerah Kagum Karya Utama Tbk.,50.0
2020-01-07,AKPI,Argha Karya Prima Industry Tbk.,410.0
2020-01-07,AKRA,AKR Corporindo Tbk.,3690.0
2020-01-07,AKSI,Majapahit Inti Corpora Tbk.,1080.0
2020-01-07,ALDO,Alkindo Naratama Tbk.,400.0
2020-01-07,ALKA,Alakasa Industrindo Tbk,380.0
2020-01-07,ALMI,Alumindo Light Metal Industry Tbk.,310.0
2020-01-07,ALTO,Tri Banyan Tirta Tbk.,386.0
2020-01-07,AMAG,Asuransi Multi Artha Guna Tbk.,296.0
2020-01-07,AMFG,Asahimas Flat Glass Tbk.,3700.0
2020-01-07,AMIN,Ateliers Mecaniques D Indonesie Tbk.,310.0
2020-01-07,AMRT,Sumber Alfaria Trijaya Tbk.,845.0
2020-01-07,ANDI,Andira Agro Tbk.,50.0
2020-01-07,ANTM,Aneka Tambang Tbk.,885.0
2020-01-07,APEX,Apexindo Pratama Duta Tbk.,332.0
2020-01-07,APIC,Pacific Strategic Financial Tbk.,700.0
2020-01-07,APII,Arita Prima Indonesia Tbk.,171.0
2020-01-07,APLI,Asiaplast Industries Tbk.,132.0
2020-01-07,APLN,Agung Podomoro Land Tbk.,177.0
2020-01-07,ARKA,Arkha Jayanti Persada Tbk.,2120.0
2020-01-07,ARNA,Arwana Citramulia Tbk.,440.0
2020-01-07,ARTA,Arthavest Tbk,422.0
2020-01-07,ARTI,Ratu Prabu Energi Tbk,50.0
2020-01-07,ARTO,Bank Artos Indonesia Tbk.,2850.0
2020-01-07,ASBI,Asuransi Bintang Tbk.,292.0
2020-01-07,ASDM,Asuransi Dayin Mitra Tbk.,1025.0
2020-01-07,ASGR,Astra Graphia Tbk.,945.0
2020-01-07,ASII,Astra International Tbk.,6800.0
2020-01-07,ASJT,Asuransi Jasa Tania Tbk.,129.0
2020-01-07,ASMI,Asuransi Kresna Mitra Tbk.,1225.0
2020-01-07,ASRI,Alam Sutera Realty Tbk.,236.0
2020-01-07,ASSA,Adi Sarana Armada Tbk.,690.0
2020-01-07,AUTO,Astra Otoparts Tbk.,1265.0
2020-01-07,BABP,Bank MNC Internasional Tbk.,50.0
2020-01-07,BABP-W3,Waran Seri IV Bank MNC Internasional Tbk,44.0
2020-01-07,BABP-W4,Waran Seri V Bank MNC Internasional Tbk.,14.0
2020-01-07,BACA,Bank Capital Indonesia Tbk.,308.0
2020-01-07,BAJA,Saranacentral Bajatama Tbk.,63.0
2020-01-07,BALI,Bali Towerindo Sentra Tbk.,935.0
2020-01-07,BAPA,Bekasi Asri Pemula Tbk.,72.0
2020-01-07,BAPI,Bhakti Agung Propertindo Tbk.,50.0
2020-01-07,BAPI-W,Waran Seri I Bhakti Agung Propertindo Tb,5.0
2020-01-07,BATA,Sepatu Bata Tbk.,640.0
2020-01-07,BAYU,Bayu Buana Tbk,1150.0
2020-01-07,BBCA,Bank Central Asia Tbk.,33675.0
2020-01-07,BBHI,Bank Harda Internasional Tbk.,120.0
2020-01-07,BBKP,Bank Bukopin Tbk.,230.0
2020-01-07,BBMD,Bank Mestika Dharma Tbk.,2400.0
2020-01-07,BBNI,Bank Negara Indonesia (Persero) Tbk.,7675.0
2020-01-07,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,4410.0
2020-01-07,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,50.0
2020-01-07,BBTN,Bank Tabungan Negara (Persero) Tbk.,2110.0
2020-01-07,BBYB,Bank Yudha Bhakti Tbk.,274.0
2020-01-07,BCAP,MNC Kapital Indonesia Tbk.,136.0
2020-01-07,BCIP,Bumi Citra Permai Tbk.,59.0
2020-01-07,BDMN,Bank Danamon Indonesia Tbk.,3850.0
2020-01-07,BEEF,Estika Tata Tiara Tbk.,384.0
2020-01-07,BEEF-W,Waran Seri I Estika Tata Tiara Tbk.,44.0
2020-01-07,BEKS,Bank Pembangunan Daerah Banten Tbk.,50.0
2020-01-07,BELL,Trisula Textile Industries Tbk.,525.0
2020-01-07,BEST,Bekasi Fajar Industrial Estate Tbk.,206.0
2020-01-07,BFIN,BFI Finance  Indonesia Tbk.,575.0
2020-01-07,BGTG,Bank Ganesha Tbk.,64.0
2020-01-07,BHIT,MNC Investama Tbk.,62.0
2020-01-07,BIKA,Binakarya Jaya Abadi Tbk.,192.0
2020-01-07,BIMA,Primarindo Asia Infrastructure Tbk.,50.0
2020-01-07,BINA,Bank Ina Perdana Tbk.,860.0
2020-01-07,BIPI,Astrindo Nusantara Infrastruktur Tbk.,50.0
2020-01-07,BIPI-W,Waran Seri II Astrindo Nusantara Infrast,9.0
2020-01-07,BIRD,Blue Bird Tbk.,2670.0
2020-01-07,BISI,BISI International Tbk.,1050.0
2020-01-07,BJBR,Bank Pembangunan Daerah Jawa Barat dan B,1270.0
2020-01-07,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,680.0
2020-01-07,BKDP,Bukit Darmo Property Tbk,57.0
2020-01-07,BKSL,Sentul City Tbk.,83.0
2020-01-07,BKSL-W,Waran Seri I Sentul City Tbk.,15.0
2020-01-07,BKSW,Bank QNB Indonesia Tbk.,155.0
2020-01-07,BLUE,Berkah Prima Perkasa Tbk.,505.0
2020-01-07,BMAS,Bank Maspion Indonesia Tbk.,350.0
2020-01-07,BMRI,Bank Mandiri (Persero) Tbk.,7725.0
2020-01-07,BMSR,Bintang Mitra Semestaraya Tbk,89.0
2020-01-07,BMTR,Global Mediacom Tbk.,336.0
2020-01-07,BNBA,Bank Bumi Arta Tbk.,314.0
2020-01-07,BNBR,Bakrie & Brothers Tbk,50.0
2020-01-07,BNGA,Bank CIMB Niaga Tbk.,940.0
2020-01-07,BNII,Bank Maybank Indonesia Tbk.,212.0
2020-01-07,BNLI,Bank Permata Tbk.,1250.0
2020-01-07,BOGA,Bintang Oto Global Tbk.,1330.0
2020-01-07,BOLA,Bali Bintang Sejahtera Tbk.,308.0
2020-01-07,BOLT,Garuda Metalindo Tbk.,850.0
2020-01-07,BOSS,Borneo Olah Sarana Sukses Tbk.,200.0
