STK_CDAT,STK_CODE,STK_NAME,STK_FIRST
2019-10-23,AALI,Astra Agro Lestari Tbk.,10450.0
2019-10-23,ABBA,Mahaka Media Tbk.,220.0
2019-10-23,ABMM,ABM Investama Tbk.,1540.0
2019-10-23,ACES,Ace Hardware Indonesia Tbk.,1845.0
2019-10-23,ACST,Acset Indonusa Tbk.,1150.0
2019-10-23,ADES,Akasha Wira International Tbk.,1050.0
2019-10-23,ADHI,Adhi Karya (Persero) Tbk.,1285.0
2019-10-23,ADMF,Adira Dinamika Multi Finance Tbk.,10800.0
2019-10-23,ADMG,Polychem Indonesia Tbk,200.0
2019-10-23,ADRO,Adaro Energy Tbk.,1365.0
2019-10-23,AGII,Aneka Gas Industri Tbk.,590.0
2019-10-23,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,220.0
2019-10-23,AGRS,Bank IBK Indonesia Tbk.,198.0
2019-10-23,AHAP,Asuransi Harta Aman Pratama Tbk.,64.0
2019-10-23,AKKU,Anugerah Kagum Karya Utama Tbk.,50.0
2019-10-23,AKPI,Argha Karya Prima Industry Tbk.,384.0
2019-10-23,AKRA,AKR Corporindo Tbk.,4080.0
2019-10-23,AKSI,Majapahit Inti Corpora Tbk.,800.0
2019-10-23,ALDO,Alkindo Naratama Tbk.,360.0
2019-10-23,ALKA,Alakasa Industrindo Tbk,515.0
2019-10-23,ALMI,Alumindo Light Metal Industry Tbk.,360.0
2019-10-23,AMAG,Asuransi Multi Artha Guna Tbk.,310.0
2019-10-23,AMFG,Asahimas Flat Glass Tbk.,4010.0
2019-10-23,AMRT,Sumber Alfaria Trijaya Tbk.,945.0
2019-10-23,ANDI,Andira Agro Tbk.,1455.0
2019-10-23,ANJT,Austindo Nusantara Jaya Tbk.,815.0
2019-10-23,ANTM,Aneka Tambang Tbk.,945.0
2019-10-23,APEX,Apexindo Pratama Duta Tbk.,505.0
2019-10-23,APIC,Pacific Strategic Financial Tbk.,740.0
2019-10-23,APLI,Asiaplast Industries Tbk.,90.0
2019-10-23,APLN,Agung Podomoro Land Tbk.,226.0
2019-10-23,APOL-W2,Waran Seri II Arpeni Pratama Ocean Line,32.0
2019-10-23,ARII,Atlas Resources Tbk.,650.0
2019-10-23,ARKA,Arkha Jayanti Persada Tbk.,1720.0
2019-10-23,ARMY,Armidian Karyatama Tbk.,218.0
2019-10-23,ARNA,Arwana Citramulia Tbk.,510.0
2019-10-23,ARTI,Ratu Prabu Energi Tbk,50.0
2019-10-23,ASDM,Asuransi Dayin Mitra Tbk.,1080.0
2019-10-23,ASGR,Astra Graphia Tbk.,1000.0
2019-10-23,ASII,Astra International Tbk.,6700.0
2019-10-23,ASJT,Asuransi Jasa Tania Tbk.,183.0
2019-10-23,ASMI,Asuransi Kresna Mitra Tbk.,965.0
2019-10-23,ASRI,Alam Sutera Realty Tbk.,286.0
2019-10-23,ASRM,Asuransi Ramayana Tbk.,2150.0
2019-10-23,ASSA,Adi Sarana Armada Tbk.,775.0
2019-10-23,AUTO,Astra Otoparts Tbk.,1240.0
2019-10-23,BABP,Bank MNC Internasional Tbk.,50.0
2019-10-23,BABP-W3,Waran Seri IV Bank MNC Internasional Tbk,42.0
2019-10-23,BACA,Bank Capital Indonesia Tbk.,268.0
2019-10-23,BAJA,Saranacentral Bajatama Tbk.,87.0
2019-10-23,BALI,Bali Towerindo Sentra Tbk.,1280.0
2019-10-23,BAPA,Bekasi Asri Pemula Tbk.,84.0
2019-10-23,BAPI,Bhakti Agung Propertindo Tbk.,50.0
2019-10-23,BAPI-W,Waran Seri I Bhakti Agung Propertindo Tb,7.0
2019-10-23,BATA,Sepatu Bata Tbk.,710.0
2019-10-23,BAYU,Bayu Buana Tbk,1600.0
2019-10-23,BBCA,Bank Central Asia Tbk.,31500.0
2019-10-23,BBHI,Bank Harda Internasional Tbk.,186.0
2019-10-23,BBKP,Bank Bukopin Tbk.,270.0
2019-10-23,BBLD,Buana Finance Tbk.,470.0
2019-10-23,BBNI,Bank Negara Indonesia (Persero) Tbk.,7300.0
2019-10-23,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,4150.0
2019-10-23,BBTN,Bank Tabungan Negara (Persero) Tbk.,1920.0
2019-10-23,BBYB,Bank Yudha Bhakti Tbk.,290.0
2019-10-23,BCAP,MNC Kapital Indonesia Tbk.,147.0
2019-10-23,BCIP,Bumi Citra Permai Tbk.,84.0
2019-10-23,BDMN,Bank Danamon Indonesia Tbk.,4580.0
2019-10-23,BEEF,Estika Tata Tiara Tbk.,346.0
2019-10-23,BEEF-W,Waran Seri I Estika Tata Tiara Tbk.,40.0
2019-10-23,BEKS,Bank Pembangunan Daerah Banten Tbk.,50.0
2019-10-23,BELL,Trisula Textile Industries Tbk.,520.0
2019-10-23,BEST,Bekasi Fajar Industrial Estate Tbk.,272.0
2019-10-23,BFIN,BFI Finance  Indonesia Tbk.,585.0
2019-10-23,BGTG,Bank Ganesha Tbk.,68.0
2019-10-23,BHIT,MNC Investama Tbk.,74.0
2019-10-23,BIKA,Binakarya Jaya Abadi Tbk.,185.0
2019-10-23,BINA,Bank Ina Perdana Tbk.,830.0
2019-10-23,BIPI,Astrindo Nusantara Infrastruktur Tbk.,50.0
2019-10-23,BIPI-W,Waran Seri II Astrindo Nusantara Infrast,12.0
2019-10-23,BIPP,Bhuwanatala Indah Permai Tbk.,70.0
2019-10-23,BIRD,Blue Bird Tbk.,2320.0
2019-10-23,BISI,BISI International Tbk.,1360.0
2019-10-23,BJBR,Bank Pembangunan Daerah Jawa Barat dan B,1880.0
2019-10-23,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,675.0
2019-10-23,BKDP,Bukit Darmo Property Tbk,58.0
2019-10-23,BKSL,Sentul City Tbk.,118.0
2019-10-23,BKSL-W,Waran Seri I Sentul City Tbk.,24.0
