AALI,2019-11-04,11400,11700,11300,11700,1267600,1176,35000
ABBA,2019-11-04,135,140,133,137,22154700,2457,-1454800
ABDA,2019-11-04,0,0,0,6975,0,0,0
ABMM,2019-11-04,0,0,0,1500,0,0,0
ACES,2019-11-04,1705,1720,1675,1720,16381200,4641,2706828
ACST,2019-11-04,1160,1160,1130,1140,359800,125,330300
ADES,2019-11-04,1080,1115,1060,1090,48000,47,0
ADHI,2019-11-04,1235,1240,1225,1235,2729500,1065,173600
ADMF,2019-11-04,10700,10700,10400,10650,302900,40,3200
ADMG,2019-11-04,193,196,192,195,760300,88,-386800
ADRO,2019-11-04,1280,1300,1270,1280,28986500,4069,-470100
AGII,2019-11-04,605,610,590,610,73100,66,0
AGRO,2019-11-04,206,210,206,208,1009900,171,-240000
AGRS,2019-11-04,178,178,172,173,23200,25,0
AHAP,2019-11-04,71,71,66,67,422100,91,0
AIMS,2019-11-04,0,0,0,180,0,0,0
AISA,2019-11-04,0,0,0,168,0,0,0
AKKU,2019-11-04,50,50,50,50,19700,14,0
AKPI,2019-11-04,380,442,380,418,18300,19,0
AKRA,2019-11-04,3880,3930,3850,3890,6698200,1434,1678500
AKSI,2019-11-04,830,850,830,845,2617900,326,-153600
ALDO,2019-11-04,382,384,380,382,69500,28,0
ALKA,2019-11-04,0,0,0,496,0,0,0
ALMI,2019-11-04,340,348,340,346,1000,3,0
ALTO,2019-11-04,374,378,372,374,2437700,152,0
AMAG,2019-11-04,292,308,274,308,500,4,0
AMFG,2019-11-04,4000,4000,4000,4000,4600,5,0
AMIN,2019-11-04,328,328,310,310,1300,4,0
AMRT,2019-11-04,900,920,885,900,118800,43,112200
ANDI,2019-11-04,1750,1750,1545,1580,352900,407,-40100
ANJT,2019-11-04,820,820,800,820,12700,9,0
ANTM,2019-11-04,855,865,810,840,148393600,10944,49745000
APEX,2019-11-04,555,555,510,510,500,4,0
APIC,2019-11-04,725,730,700,700,19252400,1200,1369700
APII,2019-11-04,0,0,0,182,0,0,0
APLI,2019-11-04,110,118,110,118,6100,13,0
APLN,2019-11-04,202,212,202,208,20572500,2081,794700
APOL,2019-11-04,0,0,0,50,0,0,0
ARGO,2019-11-04,0,0,0,825,0,0,0
ARII,2019-11-04,640,640,640,640,10000,2,0
ARKA,2019-11-04,1615,1800,1615,1620,244200,81,0
ARMY,2019-11-04,193,196,189,189,55494100,185,-693400
