AALI,2019-11-18,12200,12450,11975,12425,499500,663,-14000
ABBA,2019-11-18,98,108,98,104,21554100,2646,-4047600
ABDA,2019-11-18,0,0,0,6975,0,0,0
ABMM,2019-11-18,1430,1430,1290,1400,2400,13,0
ACES,2019-11-18,1695,1700,1635,1700,37810900,7686,2330680
ACST,2019-11-18,1150,1150,1140,1140,441100,197,344000
ADES,2019-11-18,1075,1075,1040,1060,100300,28,0
ADHI,2019-11-18,1210,1230,1210,1210,4462200,1770,-338600
ADMF,2019-11-18,10550,10575,10450,10575,410100,80,-13000
ADMG,2019-11-18,191,194,190,190,768000,36,-374200
ADRO,2019-11-18,1350,1360,1315,1330,21106400,3511,-6034300
AGII,2019-11-18,590,590,580,590,203800,47,400
AGRO,2019-11-18,191,192,190,191,387600,138,400
AGRS,2019-11-18,184,184,170,178,50500,27,0
AHAP,2019-11-18,63,70,63,67,164600,62,0
AIMS,2019-11-18,0,0,0,180,0,0,0
AISA,2019-11-18,0,0,0,168,0,0,0
AKKU,2019-11-18,50,50,50,50,23000,18,0
AKPI,2019-11-18,380,398,380,380,1500,5,-100
AKRA,2019-11-18,3690,3700,3560,3640,17462100,4468,7824000
AKSI,2019-11-18,820,820,800,800,1622400,81,85300
ALDO,2019-11-18,380,380,380,380,10200,4,0
ALKA,2019-11-18,520,520,400,510,30500,22,0
ALMI,2019-11-18,330,330,328,328,1600,5,900
ALTO,2019-11-18,386,388,380,388,2746700,133,0
AMAG,2019-11-18,0,0,0,306,0,0,0
AMFG,2019-11-18,3370,3450,3360,3450,2600,7,200
AMIN,2019-11-18,300,308,300,308,200,2,0
AMRT,2019-11-18,880,880,875,875,17100,17,0
ANDI,2019-11-18,176,177,150,152,6570500,1597,181200
ANJT,2019-11-18,895,900,880,900,111000,23,0
ANTM,2019-11-18,825,830,815,820,24328500,2838,1037100
APEX,2019-11-18,430,430,404,404,500,3,0
APIC,2019-11-18,655,655,650,650,18466500,1736,237600
APII,2019-11-18,188,188,188,188,400,2,0
APLI,2019-11-18,132,147,132,145,1288100,118,0
APLN,2019-11-18,191,191,188,189,3910800,538,321600
APOL,2019-11-18,0,0,0,50,0,0,0
ARGO,2019-11-18,0,0,0,825,0,0,0
ARII,2019-11-18,0,0,0,640,0,0,0
ARKA,2019-11-18,1600,1600,1580,1580,128600,45,0
ARMY,2019-11-18,72,82,68,73,50499600,1347,3432200
ARNA,2019-11-18,500,500,488,490,2682200,95,-81500
ARTA,2019-11-18,352,354,352,352,3200,7,0
ARTI,2019-11-18,0,0,0,50,0,0,0
ARTO,2019-11-18,3000,3500,2870,3050,395100,713,0
ASBI,2019-11-18,302,302,302,302,200,2,0
ASDM,2019-11-18,0,0,0,1040,0,0,0
ASGR,2019-11-18,955,990,950,955,761400,63,0
ASII,2019-11-18,6525,6600,6525,6600,27729100,4918,2273336
ASJT,2019-11-18,184,189,184,189,6900,9,0
ASMI,2019-11-18,950,950,905,950,71600,55,30900
ASRI,2019-11-18,258,262,256,260,2916600,889,-576192
ASRM,2019-11-18,0,0,0,2000,0,0,0
ASSA,2019-11-18,695,700,685,695,5635200,180,-42400
ATIC,2019-11-18,0,0,0,800,0,0,0
AUTO,2019-11-18,1260,1275,1255,1255,979500,325,-7500
BABP,2019-11-18,51,51,50,50,69800,27,0
BABP-W3,2019-11-18,32,32,32,32,200,0,0
BACA,2019-11-18,268,268,268,268,100,1,0
BAJA,2019-11-18,72,75,72,73,254300,52,0
BALI,2019-11-18,1225,1225,1225,1225,100,1,0
BAPA,2019-11-18,79,79,79,79,100,1,0
BAPI,2019-11-18,50,50,50,50,65900,22,0
BATA,2019-11-18,670,670,670,670,300,3,0
BAYU,2019-11-18,1545,1550,1545,1550,1500,3,0
BBCA,2019-11-18,31225,31425,31050,31400,13119800,4621,5231687
BBHI,2019-11-18,180,180,160,161,192000,38,0
BBKP,2019-11-18,250,254,250,252,3606300,438,2279100
BBLD,2019-11-18,426,426,426,426,300,2,0
BBMD,2019-11-18,0,0,0,2390,0,0,0
BBNI,2019-11-18,7475,7525,7350,7425,20819600,3876,1295200
BBRI,2019-11-18,4090,4140,4050,4120,93147500,15907,-19660985
BBRM,2019-11-18,50,50,50,50,200,2,0
BBTN,2019-11-18,1930,1980,1905,1955,41363300,6852,-2286000
BBYB,2019-11-18,288,290,288,290,10100,6,-10000
BCAP,2019-11-18,140,140,132,140,1533500,191,-3110700
BCIC,2019-11-18,0,0,0,450,0,0,0
BCIP,2019-11-18,72,83,72,81,2479600,36,0
BDMN,2019-11-18,4100,4100,3890,3950,4899500,2083,2828500
BEEF,2019-11-18,368,380,352,372,17885600,1551,51900
BEKS,2019-11-18,50,50,50,50,3900,14,0
BELL,2019-11-18,520,520,520,520,51100,21,0
BEST,2019-11-18,232,234,222,222,12584200,920,1380700
BFIN,2019-11-18,595,595,590,595,23400,9,0
BGTG,2019-11-18,66,66,65,66,560500,100,0
BHIT,2019-11-18,69,70,68,69,7362100,273,4200
BIKA,2019-11-18,0,0,0,194,0,0,0
BIMA,2019-11-18,50,50,50,50,100,1,0
BINA,2019-11-18,850,880,780,875,1043000,142,50000
BIPI,2019-11-18,50,50,50,50,95200,19,0
BIPP,2019-11-18,72,72,68,68,339700,16,0
BIRD,2019-11-18,2000,2050,1960,2050,1167600,598,9600
BISI,2019-11-18,1100,1100,1090,1090,63000,35,22100
