AALI,2019-11-05,11600,12425,11600,12400,3155600,2342,86000
ABBA,2019-11-05,137,140,134,134,23924000,2948,-1263700
ABDA,2019-11-05,0,0,0,6975,0,0,0
ABMM,2019-11-05,1500,1500,1495,1500,2000,7,0
ACES,2019-11-05,1740,1740,1700,1715,13446400,4082,5897600
ACST,2019-11-05,1180,1190,1145,1165,273000,85,239400
ADES,2019-11-05,1080,1110,1080,1090,2500,14,100
ADHI,2019-11-05,1235,1255,1230,1250,6335600,984,-385900
ADMF,2019-11-05,10525,10650,10525,10600,96200,38,90400
ADMG,2019-11-05,195,196,194,194,149000,39,0
ADRO,2019-11-05,1290,1370,1290,1370,63048100,6227,-7758352
AGII,2019-11-05,610,610,590,600,60300,36,22500
AGRO,2019-11-05,208,210,202,208,2140400,330,0
AGRS,2019-11-05,173,177,172,175,14300,16,0
AHAP,2019-11-05,67,69,65,69,656000,91,0
AIMS,2019-11-05,0,0,0,180,0,0,0
AISA,2019-11-05,0,0,0,168,0,0,0
AKKU,2019-11-05,50,50,50,50,18900,14,0
AKPI,2019-11-05,418,444,418,430,18000,15,5300
AKRA,2019-11-05,3890,3920,3840,3860,4269100,1473,1240100
AKSI,2019-11-05,845,860,845,855,2389300,250,-149900
ALDO,2019-11-05,380,382,380,382,16000,3,0
ALKA,2019-11-05,476,476,474,474,6000,2,-5000
ALMI,2019-11-05,346,346,346,346,100,1,0
ALTO,2019-11-05,384,388,372,380,2656300,164,0
AMAG,2019-11-05,0,0,0,308,0,0,0
AMFG,2019-11-05,3950,3950,3950,3950,200,1,0
AMIN,2019-11-05,0,0,0,310,0,0,0
AMRT,2019-11-05,900,980,885,890,84900,117,2412900
ANDI,2019-11-05,322,332,282,282,1638400,521,8000
ANJT,2019-11-05,805,820,805,820,2500,3,200
ANTM,2019-11-05,830,850,820,835,80390400,5350,-162700
APEX,2019-11-05,560,560,432,432,10700,11,0
APIC,2019-11-05,700,700,680,695,23128200,946,268800
APII,2019-11-05,182,182,182,182,500,2,0
APLI,2019-11-05,120,120,118,118,1900,11,0
APLN,2019-11-05,210,216,208,210,40899100,2689,-1352300
APOL,2019-11-05,0,0,0,50,0,0,0
ARGO,2019-11-05,0,0,0,825,0,0,0
ARII,2019-11-05,640,640,640,640,12000,2,0
ARKA,2019-11-05,1620,1630,1615,1615,246600,100,0
ARMY,2019-11-05,189,189,180,187,208455000,212,63800
ARNA,2019-11-05,500,500,496,498,750800,79,591900
ARTA,2019-11-05,300,370,300,340,4400,10,0
ARTI,2019-11-05,0,0,0,50,0,0,0
ARTO,2019-11-05,0,0,0,2630,0,0,0
ASBI,2019-11-05,0,0,0,308,0,0,0
ASDM,2019-11-05,0,0,0,1070,0,0,0
ASGR,2019-11-05,980,990,975,980,92700,49,0
ASII,2019-11-05,6775,6950,6750,6900,42041800,6566,10921566
ASJT,2019-11-05,184,208,184,188,659800,141,0
ASMI,2019-11-05,960,975,960,975,121700,53,11000
ASRI,2019-11-05,266,270,262,270,4059700,419,988786
ASRM,2019-11-05,2020,2110,2020,2110,500,3,0
ASSA,2019-11-05,755,760,740,750,5383200,271,234500
ATIC,2019-11-05,0,0,0,790,0,0,0
AUTO,2019-11-05,1240,1250,1235,1235,593500,233,212000
BABP,2019-11-05,50,50,50,50,144800,21,0
BABP-W3,2019-11-05,38,38,32,32,25000,0,0
BACA,2019-11-05,270,280,268,268,186600,14,0
BAJA,2019-11-05,78,79,76,79,218900,65,0
BALI,2019-11-05,0,0,0,1390,0,0,0
BAPA,2019-11-05,81,82,80,81,10800,25,0
BAPI,2019-11-05,50,50,50,50,210700,46,-100
BATA,2019-11-05,645,650,615,630,101200,25,-5600
BAYU,2019-11-05,1500,1555,1305,1555,1400,6,0
BBCA,2019-11-05,31750,31800,31350,31800,13232300,6844,-2507549
BBHI,2019-11-05,185,186,180,180,202500,28,0
BBKP,2019-11-05,266,274,264,264,5008100,449,1936700
BBLD,2019-11-05,0,0,0,442,0,0,0
BBMD,2019-11-05,2400,2400,2400,2400,1500,3,0
BBNI,2019-11-05,7600,7800,7575,7725,50649200,4715,31873742
BBRI,2019-11-05,4190,4300,4170,4300,132545000,15844,-38215385
BBRM,2019-11-05,0,0,0,50,0,0,0
BBTN,2019-11-05,1815,1865,1815,1865,31920700,4410,3557738
BBYB,2019-11-05,288,288,284,288,45100,7,-43000
BCAP,2019-11-05,161,162,155,158,9293100,10853,-21900
BCIC,2019-11-05,0,0,0,450,0,0,0
BCIP,2019-11-05,84,84,83,84,717900,32,0
BDMN,2019-11-05,4300,4320,4200,4220,2540700,1223,1156600
BEEF,2019-11-05,328,336,326,326,3930200,325,-5800
BEKS,2019-11-05,50,50,50,50,900,4,0
BELL,2019-11-05,520,520,520,520,58300,29,0
BEST,2019-11-05,248,252,246,246,7652900,655,1980000
BFIN,2019-11-05,580,600,580,600,595900,23,337400
BGTG,2019-11-05,68,68,66,68,1929300,120,0
