AALI,2019-11-28,12125,12375,12125,12275,430500,686,-26700
ABBA,2019-11-28,108,112,103,104,20759000,1821,1241100
ABDA,2019-11-28,0,0,0,6975,0,0,0
ABMM,2019-11-28,1455,1460,1455,1460,400,4,0
ACES,2019-11-28,1675,1700,1610,1610,25998800,5502,16339200
ACST,2019-11-28,1030,1030,1030,1030,485000,102,324500
ADES,2019-11-28,1030,1030,1000,1000,15700,8,0
ADHI,2019-11-28,1135,1150,1100,1100,5888600,1147,35700
ADMF,2019-11-28,10450,10450,10375,10425,251100,33,10400
ADMG,2019-11-28,186,189,183,183,1127300,59,-500000
ADRO,2019-11-28,1295,1300,1245,1245,31176400,4092,1101800
AGII,2019-11-28,575,575,560,565,49000,53,7999000
AGRO,2019-11-28,145,147,141,141,3856600,409,0
AGRS,2019-11-28,172,172,163,169,40700,32,0
AHAP,2019-11-28,66,66,60,62,472800,34,0
AIMS,2019-11-28,0,0,0,180,0,0,0
AISA,2019-11-28,0,0,0,168,0,0,0
AKKU,2019-11-28,50,50,50,50,17700,20,0
AKPI,2019-11-28,362,380,360,380,27900,3,0
AKRA,2019-11-28,3320,3360,3220,3250,17583800,2356,3219300
AKSI,2019-11-28,760,800,760,800,3134300,88,35500
ALDO,2019-11-28,384,384,380,380,67800,19,0
ALKA,2019-11-28,515,515,480,486,6300,4,0
ALMI,2019-11-28,302,316,268,316,2100,5,0
ALTO,2019-11-28,374,374,372,374,14170200,17,0
AMAG,2019-11-28,0,0,0,302,0,0,0
AMFG,2019-11-28,3450,3480,3400,3400,148800,16,106100
AMIN,2019-11-28,0,0,0,318,0,0,0
AMRT,2019-11-28,890,890,840,855,26100,34,1300
ANDI,2019-11-28,0,0,0,100,0,0,0
ANJT,2019-11-28,895,895,885,895,163800,12,0
ANTM,2019-11-28,780,780,745,750,56329600,6284,3757700
APEX,2019-11-28,378,420,336,336,3900,15,0
APIC,2019-11-28,645,645,625,645,3804400,194,1045700
APII,2019-11-28,164,170,164,164,2200,6,0
APLI,2019-11-28,149,152,147,149,257500,31,0
APLN,2019-11-28,185,189,176,177,46094900,3100,61800
APOL,2019-11-28,0,0,0,50,0,0,0
ARGO,2019-11-28,0,0,0,825,0,0,0
ARII,2019-11-28,0,0,0,640,0,0,0
ARKA,2019-11-28,1610,1650,1530,1610,293500,536,0
ARMY,2019-11-28,50,50,50,50,115400,10,0
ARNA,2019-11-28,466,468,450,466,310400,76,-91500
ARTA,2019-11-28,398,398,390,390,1000,4,0
ARTI,2019-11-28,50,50,50,50,100,1,0
ARTO,2019-11-28,1905,1940,1900,1900,21000,28,-500
ASBI,2019-11-28,288,288,276,276,5600,6,0
ASDM,2019-11-28,0,0,0,1005,0,0,0
ASGR,2019-11-28,935,940,930,930,76900,27,-31800
ASII,2019-11-28,6425,6425,6350,6400,17353400,4412,-1680300
ASJT,2019-11-28,176,181,170,181,21300,10,0
ASMI,2019-11-28,935,935,925,925,163900,66,37200
ASRI,2019-11-28,244,244,232,238,5136400,465,-127700
ASRM,2019-11-28,0,0,0,2000,0,0,0
ASSA,2019-11-28,780,795,740,745,8594300,292,-700
ATIC,2019-11-28,680,775,680,770,5000,8,0
AUTO,2019-11-28,1205,1220,1160,1175,1301200,538,-37700
BABP,2019-11-28,50,50,50,50,67500,12,0
BABP-W3,2019-11-28,34,34,34,34,24600,0,0
BACA,2019-11-28,300,302,294,300,3472300,708,0
BAJA,2019-11-28,60,69,60,67,458300,115,0
BALI,2019-11-28,0,0,0,1350,0,0,0
BAPA,2019-11-28,77,77,63,69,48200,27,-7000
BAPI,2019-11-28,50,50,50,50,5500,9,0
BATA,2019-11-28,650,660,630,635,19100,17,-1200
BAYU,2019-11-28,800,970,800,945,4900,9,0
BBCA,2019-11-28,31475,31475,31225,31250,8849600,4732,821308
BBHI,2019-11-28,141,153,141,141,51600,20,0
BBKP,2019-11-28,238,242,230,234,2315200,214,326200
BBLD,2019-11-28,0,0,0,418,0,0,0
