AALI,2020-01-06,14100,14100,13500,13500,1109400,1083,258700
ABBA,2020-01-06,106,107,104,104,8759800,626,-51000
ABDA,2020-01-06,0,0,0,6925,0,0,0
ABMM,2020-01-06,0,0,0,1530,0,0,0
ACES,2020-01-06,1515,1515,1470,1470,18050000,4936,8440500
ACST,2020-01-06,1000,1000,970,1000,6600,13,0
ADES,2020-01-06,1050,1050,1050,1050,300,2,0
ADHI,2020-01-06,1210,1210,1185,1185,13004900,2839,-1230600
ADMF,2020-01-06,10450,10450,10300,10350,46400,77,30200
ADMG,2020-01-06,187,187,175,186,879700,102,0
ADRO,2020-01-06,1455,1515,1450,1465,61423200,7132,-4739000
AGAR,2020-01-06,368,368,356,358,176200,34,0
AGII,2020-01-06,595,675,595,645,79500,51,0
AGRO,2020-01-06,199,202,196,196,2285000,554,-1200
AGRS,2020-01-06,140,141,136,140,23600,12,-4600
AHAP,2020-01-06,60,63,57,58,137100,60,0
AIMS,2020-01-06,0,0,0,180,0,0,0
AISA,2020-01-06,0,0,0,168,0,0,0
AKKU,2020-01-06,50,50,50,50,500,3,0
AKPI,2020-01-06,410,410,410,410,200,1,-200
AKRA,2020-01-06,3790,3790,3640,3640,12554400,2213,1094000
AKSI,2020-01-06,1220,1220,1000,1080,9600,14,7900
ALDO,2020-01-06,386,400,386,400,5800,8,0
ALKA,2020-01-06,418,418,400,400,9600,15,0
ALMI,2020-01-06,300,310,300,310,4600,4,0
ALTO,2020-01-06,392,400,390,400,30797200,38,0
AMAG,2020-01-06,0,0,0,296,0,0,0
AMFG,2020-01-06,3600,3600,3600,3600,100,1,0
AMIN,2020-01-06,0,0,0,310,0,0,0
AMRT,2020-01-06,865,865,845,845,42000,29,0
ANDI,2020-01-06,51,51,50,50,8892600,533,0
ANJT,2020-01-06,950,950,900,945,17900,10,0
ANTM,2020-01-06,860,890,855,885,153322300,12787,-11327759
APEX,2020-01-06,312,340,312,336,12800,8,0
APIC,2020-01-06,700,700,690,700,21335100,1684,182800
APII,2020-01-06,167,180,165,179,29000,18,0
APLI,2020-01-06,170,170,132,132,144400,75,0
APLN,2020-01-06,177,177,173,175,21094400,722,810000
APOL,2020-01-06,0,0,0,50,0,0,0
ARGO,2020-01-06,0,0,0,825,0,0,0
ARII,2020-01-06,0,0,0,715,0,0,0
ARKA,2020-01-06,2080,2120,2070,2120,1452700,939,0
ARMY,2020-01-06,0,0,0,50,0,0,0
ARNA,2020-01-06,436,440,430,436,584600,84,-58100
ARTA,2020-01-06,426,426,426,426,500,1,0
ARTI,2020-01-06,50,50,50,50,10600,3,0
ARTO,2020-01-06,3100,3100,2800,2850,165200,84,-24500
ASBI,2020-01-06,0,0,0,304,0,0,0
ASDM,2020-01-06,0,0,0,1095,0,0,0
ASGR,2020-01-06,965,965,930,945,242700,61,0
ASII,2020-01-06,6900,6900,6750,6750,22261900,4443,5734720
ASJT,2020-01-06,125,134,121,129,1865100,254,0
ASMI,2020-01-06,1235,1235,1230,1230,43200,31,57200
ASRI,2020-01-06,236,236,232,234,3246300,400,1093646
ASRM,2020-01-06,0,0,0,2010,0,0,0
ASSA,2020-01-06,725,725,680,690,9434700,487,503700
ATIC,2020-01-06,615,615,615,615,2000,1,0
AUTO,2020-01-06,1275,1280,1260,1260,814600,353,26500
BABP,2020-01-06,50,50,50,50,33300,23,0
