BBRI,2020-02-07,0,4580,4540,4550,133042500,605427583000,0,0,0,0
BBRM,2020-02-07,0,0,0,50,0,0,0,0,0,0
BBTN,2020-02-07,0,1870,1830,1845,20020700,36979646000,0,0,0,0
BBYB,2020-02-07,0,294,290,294,13700,4024600,0,0,0,0
BCAP,2020-02-07,0,148,145,146,232500,34159000,0,0,0,0
BCIC,2020-02-07,0,0,0,450,0,0,0,0,0,0
BCIP,2020-02-07,0,50,50,50,16600,830000,0,0,0,0
BDMN,2020-02-07,0,3620,3570,3580,682300,2454400000,0,0,0,0
BEEF,2020-02-07,0,380,364,370,1365900,504904800,0,0,0,0
BEEF-W,2020-02-07,0,48,43,43,61600,2655900,0,0,0,0
BEKS,2020-02-07,0,50,50,50,1400,70000,0,0,0,0
BELL,2020-02-07,0,550,550,550,57100,31405000,0,0,0,0
BEST,2020-02-07,0,179,171,172,7907100,1376434800,0,0,0,0
BFIN,2020-02-07,0,560,540,550,100500,55174500,0,0,0,0
BGTG,2020-02-07,0,53,51,52,298100,15335400,0,0,0,0
BHIT,2020-02-07,0,66,64,65,3837300,249555100,0,0,0,0
BIKA,2020-02-07,0,0,0,195,0,0,0,0,0,0
BIMA,2020-02-07,0,50,50,50,1000,50000,0,0,0,0
BINA,2020-02-07,0,915,860,915,1651000,1497772500,0,0,0,0
BIPI,2020-02-07,0,50,50,50,2800,140000,0,0,0,0
BIPI-W,2020-02-07,0,9,8,9,72000,576200,0,0,0,0
BIPP,2020-02-07,0,0,0,50,0,0,0,0,0,0
BIPP-W2,2020-02-07,0,0,0,1,0,0,0,0,0,0
BIRD,2020-02-07,0,2480,2440,2470,563400,1387977000,0,0,0,0
BISI,2020-02-07,0,1000,990,1000,17800,17758000,0,0,0,0
BJBR,2020-02-07,0,1065,1025,1035,8313900,8709187500,0,0,0,0
BJTM,2020-02-07,0,650,635,650,3967800,2552832000,0,0,0,0
BKDP,2020-02-07,0,59,56,56,2400,135000,0,0,0,0
BKSL,2020-02-07,0,59,57,58,45816600,2659613200,0,0,0,0
BKSL-W,2020-02-07,0,14,13,13,2200500,28618600,0,0,0,0
BKSW,2020-02-07,0,164,130,164,600,94000,0,0,0,0
BLTA,2020-02-07,0,50,50,50,1500,75000,0,0,0,0
BLTZ,2020-02-07,0,0,0,3150,0,0,0,0,0,0
BLUE,2020-02-07,0,545,525,530,136200,73055000,0,0,0,0
BMAS,2020-02-07,0,278,220,220,10600,2654400,0,0,0,0
BMRI,2020-02-07,0,7750,7675,7725,43219300,333128315000,0,0,0,0
BMSR,2020-02-07,0,90,85,85,46900,4060800,0,0,0,0
BMTR,2020-02-07,0,360,348,352,5962200,2102157200,0,0,0,0
BNBA,2020-02-07,0,314,310,314,179900,56023000,0,0,0,0
BNBR,2020-02-07,0,0,0,50,0,0,0,0,0,0
BNGA,2020-02-07,0,900,875,875,2948300,2597697000,0,0,0,0
BNII,2020-02-07,0,202,200,202,307500,61508000,0,0,0,0
BNLI,2020-02-07,0,1205,1195,1205,7413400,8908296500,0,0,0,0
BOGA,2020-02-07,0,1580,1560,1580,30364900,47736438000,0,0,0,0
BOLA,2020-02-07,0,268,258,260,16200,4213000,0,0,0,0
BOLT,2020-02-07,0,830,810,825,101800,83787500,0,0,0,0
BOSS,2020-02-07,0,135,130,131,456400,59971500,0,0,0,0
BPFI,2020-02-07,0,0,0,1310,0,0,0,0,0,0
BPII,2020-02-07,0,0,0,10000,0,0,0,0,0,0
BPTR,2020-02-07,0,94,90,92,22400,2035800,0,0,0,0
BRAM,2020-02-07,0,0,0,6500,0,0,0,0,0,0
BRIS,2020-02-07,0,326,316,324,3480400,1118427200,0,0,0,0
BRMS,2020-02-07,0,50,50,50,94200,4710000,0,0,0,0
BRNA,2020-02-07,0,0,0,1020,0,0,0,0,0,0
BRPT,2020-02-07,0,1270,1235,1265,58846600,73600096000,0,0,0,0
BRPT-W,2020-02-07,0,0,0,1000,0,0,0,0,0,0
BSDE,2020-02-07,0,1215,1175,1195,10949900,13118623500,0,0,0,0
BSIM,2020-02-07,0,555,510,555,200,106500,0,0,0,0
BSIM-W3,2020-02-07,0,38,11,38,2800,76100,0,0,0,0
BSSR,2020-02-07,0,1890,1800,1870,1100,2040500,0,0,0,0
BSWD,2020-02-07,0,0,0,1750,0,0,0,0,0,0
BTEK,2020-02-07,0,50,50,50,700,35000,0,0,0,0
BTEL,2020-02-07,0,0,0,50,0,0,0,0,0,0
BTON,2020-02-07,0,200,199,199,75000,14936700,0,0,0,0
BTPN,2020-02-07,0,2970,2940,2940,9000,26545000,0,0,0,0
BTPS,2020-02-07,0,4720,4590,4630,2391000,11097227000,0,0,0,0
BUDI,2020-02-07,0,99,97,99,275000,26820300,0,0,0,0
BUKK,2020-02-07,0,1375,1370,1370,700,960000,0,0,0,0
BULL,2020-02-07,0,177,170,170,24389300,4227504100,0,0,0,0
BULL-W,2020-02-07,0,69,69,69,10000,690000,0,0,0,0
BULL-W2,2020-02-07,0,25,23,24,264800,6255500,0,0,0,0
BUMI,2020-02-07,0,54,51,53,150247200,7868969400,0,0,0,0
BUVA,2020-02-07,0,71,54,71,310600,21028600,0,0,0,0
BVIC,2020-02-07,0,69,66,66,1796700,119271300,0,0,0,0
BWPT,2020-02-07,0,133,123,127,30338100,3834957600,0,0,0,0
BYAN,2020-02-07,0,15200,15200,15200,100,1520000,0,0,0,0
CAKK,2020-02-07,0,59,57,58,666400,38495100,0,0,0,0
CAKK-W,2020-02-07,0,21,20,21,94000,1880300,0,0,0,0
CAMP,2020-02-07,0,314,304,310,144700,44466400,0,0,0,0
CANI,2020-02-07,0,0,0,159,0,0,0,0,0,0
CARS,2020-02-07,0,90,75,90,16580400,1381442600,0,0,0,0
CASA,2020-02-07,0,414,376,414,106700,44038000,0,0,0,0
CASA-W,2020-02-07,0,0,0,142,0,0,0,0,0,0
CASS,2020-02-07,0,486,486,486,2000,972000,0,0,0,0
CCSI,2020-02-07,0,262,258,258,223600,57827400,0,0,0,0
CEKA,2020-02-07,0,1560,1545,1545,16500,25688500,0,0,0,0
CENT,2020-02-07,0,72,68,72,728800,50911700,0,0,0,0
CFIN,2020-02-07,0,256,254,254,489800,125336400,0,0,0,0
CINT,2020-02-07,0,284,258,278,82600,22902200,0,0,0,0
CITA,2020-02-07,0,2000,1940,2000,19000,37000000,0,0,0,0
CITY,2020-02-07,0,90,57,71,85400,6148400,0,0,0,0
CITY-W,2020-02-07,0,34,26,28,29800,911700,0,0,0,0
CKRA,2020-02-07,0,0,0,76,0,0,0,0,0,0
CLAY,2020-02-07,0,3080,2920,2920,1093100,3353066000,0,0,0,0
CLEO,2020-02-07,0,490,482,482,4135200,2016950600,0,0,0,0
CLPI,2020-02-07,0,740,705,725,21900,15863500,0,0,0,0
CMNP,2020-02-07,0,1960,1900,1900,16000,30523000,0,0,0,0
CMPP,2020-02-07,0,0,0,184,0,0,0,0,0,0
CNKO,2020-02-07,0,0,0,50,0,0,0,0,0,0
CNTB,2020-02-07,0,0,0,250,0,0,0,0,0,0
CNTX,2020-02-07,0,330,330,330,100,33000,0,0,0,0
COCO,2020-02-07,0,855,850,855,234300,199166500,0,0,0,0
COCO-W,2020-02-07,0,0,0,252,0,0,0,0,0,0
COWL,2020-02-07,0,0,0,50,0,0,0,0,0,0
CPIN,2020-02-07,0,6500,6375,6375,2198800,14078735000,0,0,0,0
CPRI,2020-02-07,0,50,50,50,3400,170000,0,0,0,0
CPRI-W,2020-02-07,0,21,21,21,11500,241500,0,0,0,0
CPRO,2020-02-07,0,50,50,50,500,25000,0,0,0,0
CSAP,2020-02-07,0,446,446,446,100,44600,0,0,0,0
CSIS,2020-02-07,0,95,79,79,191400,15240500,0,0,0,0
CSRA,2020-02-07,0,745,675,680,10090900,7112750000,0,0,0,0
CTBN,2020-02-07,0,0,0,3150,0,0,0,0,0,0
CTRA,2020-02-07,0,925,915,920,11402500,10485588500,0,0,0,0
CTTH,2020-02-07,0,57,55,56,106100,5950700,0,0,0,0
DART,2020-02-07,0,270,270,270,500,135000,0,0,0,0
DAYA,2020-02-07,0,300,270,300,2300,624000,0,0,0,0
DEAL,2020-02-07,0,117,99,109,11997800,1339223100,0,0,0,0
DEAL-W,2020-02-07,0,0,0,25,0,0,0,0,0,0
DEFI,2020-02-07,0,1900,1885,1900,27500,52043500,0,0,0,0
DEWA,2020-02-07,0,0,0,50,0,0,0,0,0,0
DFAM,2020-02-07,0,392,378,392,2811800,1078838800,0,0,0,0
DFAM-W,2020-02-07,0,0,0,21,0,0,0,0,0,0
DGIK,2020-02-07,0,0,0,50,0,0,0,0,0,0
DIGI,2020-02-07,0,1700,1700,1700,1200,2040000,0,0,0,0
DILD,2020-02-07,0,286,280,284,1358900,385693600,0,0,0,0
DIVA,2020-02-07,0,2640,2480,2620,15700,39704000,0,0,0,0
DKFT,2020-02-07,0,123,119,120,3949300,475672700,0,0,0,0
DLTA,2020-02-07,0,0,0,6500,0,0,0,0,0,0
DMAS,2020-02-07,0,290,272,288,49103300,14011899400,0,0,0,0
DMMX,2020-02-07,0,212,200,208,370000,75440000,0,0,0,0
DMND,2020-02-07,0,1010,990,990,114500,114274000,0,0,0,0
DNAR,2020-02-07,0,186,180,186,1100,202800,0,0,0,0
DNET,2020-02-07,0,3200,3200,3200,200,640000,0,0,0,0
DOID,2020-02-07,0,224,212,216,7302300,1578275200,0,0,0,0
DPNS,2020-02-07,0,0,0,282,0,0,0,0,0,0
DPUM,2020-02-07,0,110,98,98,20000,1993700,0,0,0,0
DSFI,2020-02-07,0,100,98,100,33600,3327000,0,0,0,0
DSNG,2020-02-07,0,446,438,440,418000,185160400,0,0,0,0
DSSA,2020-02-07,0,13600,13600,13600,200,2720000,0,0,0,0
DUCK,2020-02-07,0,1200,1180,1200,9400,11162000,0,0,0,0
DUTI,2020-02-07,0,0,0,4990,0,0,0,0,0,0
DVLA,2020-02-07,0,2200,2150,2200,16500,36050000,0,0,0,0
DWGL,2020-02-07,0,197,171,196,4300,833600,0,0,0,0
DWGL-W,2020-02-07,0,44,36,38,338300,12810800,0,0,0,0
DYAN,2020-02-07,0,70,67,68,1719700,116858200,0,0,0,0
EAST,2020-02-07,0,98,94,96,5627600,542068400,0,0,0,0
EAST-W,2020-02-07,0,15,13,14,14328000,199507400,0,0,0,0
ECII,2020-02-07,0,0,0,1010,0,0,0,0,0,0
EKAD,2020-02-07,0,1095,1070,1090,10300,11180000,0,0,0,0
ELSA,2020-02-07,0,274,260,260,16622100,4399182200,0,0,0,0
ELTY,2020-02-07,0,50,50,50,200,10000,0,0,0,0
EMDE,2020-02-07,0,208,200,208,110000,22400000,0,0,0,0
EMTK,2020-02-07,0,5800,5300,5800,1000,5492500,0,0,0,0
ENRG,2020-02-07,0,50,50,50,3368700,168435000,0,0,0,0
ENVY,2020-02-07,0,0,0,278,0,0,0,0,0,0
EPMT,2020-02-07,0,0,0,2100,0,0,0,0,0,0
ERAA,2020-02-07,0,1740,1670,1740,20996600,36156815000,0,0,0,0
ERTX,2020-02-07,0,140,134,134,300,41400,0,0,0,0
ESIP,2020-02-07,0,162,141,150,129300,19579600,0,0,0,0
ESIP-W,2020-02-07,0,20,18,18,3945900,74354100,0,0,0,0
ESSA,2020-02-07,0,242,230,240,3692400,881623800,0,0,0,0
ESTI,2020-02-07,0,51,50,51,112100,5605200,0,0,0,0
ETWA,2020-02-07,0,60,58,58,169700,9942700,0,0,0,0
EXCL,2020-02-07,0,2930,2860,2900,39432100,114390631000,0,0,0,0
FAST,2020-02-07,0,2600,2380,2400,16400,39481000,0,0,0,0
FASW,2020-02-07,0,0,0,7250,0,0,0,0,0,0
FILM,2020-02-07,0,218,210,218,4437800,955759200,0,0,0,0
FINN,2020-02-07,0,0,0,50,0,0,0,0,0,0
FIRE,2020-02-07,0,177,156,164,16307900,2742006300,0,0,0,0
FIRE-W,2020-02-07,0,0,0,990,0,0,0,0,0,0
FISH,2020-02-07,0,0,0,2700,0,0,0,0,0,0
FITT,2020-02-07,0,75,71,71,32400,2320900,0,0,0,0
FITT-W,2020-02-07,0,61,53,54,69600,3734500,0,0,0,0
FMII,2020-02-07,0,0,0,470,0,0,0,0,0,0
FOOD,2020-02-07,0,102,100,100,31000,3125900,0,0,0,0
FORU,2020-02-07,0,0,0,106,0,0,0,0,0,0
FORZ,2020-02-07,0,50,50,50,200,10000,0,0,0,0
FORZ-W,2020-02-07,0,0,0,610,0,0,0,0,0,0
FPNI,2020-02-07,0,91,84,86,2412700,210248400,0,0,0,0
FREN,2020-02-07,0,117,105,114,115434700,13087100200,0,0,0,0
FREN-W,2020-02-07,0,78,61,73,1364300,95560400,0,0,0,0
FUJI,2020-02-07,0,105,104,104,112900,11747000,0,0,0,0
GAMA,2020-02-07,0,50,50,50,3000,150000,0,0,0,0
GDST,2020-02-07,0,76,72,74,1748000,128180200,0,0,0,0
