AALI,2019-11-12,12875,12900,12500,12825,1311800,670,353900
ABBA,2019-11-12,120,125,111,116,30418100,4249,2373300
ABDA,2019-11-12,0,0,0,6975,0,0,0
ABMM,2019-11-12,0,0,0,1520,0,0,0
ACES,2019-11-12,1750,1755,1700,1750,28129000,6149,-1589000
ACST,2019-11-12,1160,1160,1145,1150,434000,115,419500
ADES,2019-11-12,1100,1105,1085,1105,36000,38,0
ADHI,2019-11-12,1210,1215,1190,1200,4961700,1487,-31500
ADMF,2019-11-12,10550,10650,10500,10650,575400,68,-14200
ADMG,2019-11-12,186,195,185,192,407300,60,-240700
ADRO,2019-11-12,1420,1440,1400,1425,47287000,4661,-6905600
AGII,2019-11-12,595,595,580,580,223900,50,211700
AGRO,2019-11-12,192,194,190,191,470000,142,1100
AGRS,2019-11-12,178,178,168,177,43800,38,0
AHAP,2019-11-12,67,82,66,74,8163200,980,58400
AIMS,2019-11-12,0,0,0,180,0,0,0
AISA,2019-11-12,0,0,0,168,0,0,0
AKKU,2019-11-12,50,50,50,50,19500,17,0
AKPI,2019-11-12,430,430,430,430,100,1,0
AKRA,2019-11-12,3740,3840,3730,3800,4559000,1770,2138300
AKSI,2019-11-12,905,925,845,870,3413000,418,-17800
ALDO,2019-11-12,380,380,380,380,49200,9,0
ALKA,2019-11-12,0,0,0,500,0,0,0
ALMI,2019-11-12,328,328,326,326,394200,8,0
ALTO,2019-11-12,370,378,370,378,3047900,107,0
AMAG,2019-11-12,306,306,300,300,200,2,0
AMFG,2019-11-12,3500,3500,3400,3450,22200,26,-900
AMIN,2019-11-12,0,0,0,310,0,0,0
AMRT,2019-11-12,875,885,875,880,1413300,104,1406200
ANDI,2019-11-12,173,228,172,226,68375800,7866,2426900
ANJT,2019-11-12,855,860,855,855,108900,14,1100
ANTM,2019-11-12,815,825,800,820,66391100,7324,-4798000
APEX,2019-11-12,430,430,428,430,22500,7,0
APIC,2019-11-12,655,655,640,655,22633200,2099,-229000
APII,2019-11-12,182,182,182,182,100,1,0
APLI,2019-11-12,119,119,119,119,400,2,0
APLN,2019-11-12,191,192,188,189,11192400,975,179800
APOL,2019-11-12,0,0,0,50,0,0,0
