AALI,2020-02-07,12175
ABBA,2020-02-07,70
ACES,2020-02-07,1640
ACST,2020-02-07,850
ADES,2020-02-07,940
ADHI,2020-02-07,1050
ADMF,2020-02-07,9975
ADMG,2020-02-07,148
ADRO,2020-02-07,1285
AGAR,2020-02-07,442
AGII,2020-02-07,585
AGRO,2020-02-07,154
AGRS,2020-02-07,150
AHAP,2020-02-07,57
AKKU,2020-02-07,50
AKRA,2020-02-07,3310
AKSI,2020-02-07,424
ALDO,2020-02-07,470
ALKA,2020-02-07,328
ALMI,2020-02-07,318
ALTO,2020-02-07,388
AMAR,2020-02-07,430
AMFG,2020-02-07,3210
AMIN,2020-02-07,400
AMOR,2020-02-07,2460
AMRT,2020-02-07,800
ANDI,2020-02-07,50
ANTM,2020-02-07,730
APIC,2020-02-07,695
APII,2020-02-07,199
APLI,2020-02-07,170
APLN,2020-02-07,157
ARKA,2020-02-07,2000
ARNA,2020-02-07,460
ARTA,2020-02-07,310
ARTI,2020-02-07,50
ARTO,2020-02-07,3400
ASDM,2020-02-07,1000
ASGR,2020-02-07,950
ASII,2020-02-07,6550
ASJT,2020-02-07,126
ASMI,2020-02-07,1345
ASRI,2020-02-07,195
ASSA,2020-02-07,605
AUTO,2020-02-07,1180
BABP,2020-02-07,50
BABP-W3,2020-02-07,33
BABP-W4,2020-02-07,11
BAJA,2020-02-07,75
BALI,2020-02-07,830
BAPA,2020-02-07,53
BAPI,2020-02-07,50
BAPI-W,2020-02-07,6
BATA,2020-02-07,625
BBCA,2020-02-07,33550
BBHI,2020-02-07,109
BBKP,2020-02-07,208
BBNI,2020-02-07,7400
BBRI,2020-02-07,4580
BBTN,2020-02-07,1850
BBYB,2020-02-07,290
BCAP,2020-02-07,145
BCIP,2020-02-07,50
BDMN,2020-02-07,3600
BEEF,2020-02-07,380
BEEF-W,2020-02-07,48
BEKS,2020-02-07,50
BELL,2020-02-07,550
BEST,2020-02-07,179
BFIN,2020-02-07,560
BGTG,2020-02-07,53
BHIT,2020-02-07,65
BIMA,2020-02-07,50
BINA,2020-02-07,870
BIPI,2020-02-07,50
BIPI-W,2020-02-07,8
BIRD,2020-02-07,2470
BISI,2020-02-07,995
BJBR,2020-02-07,1045
BJTM,2020-02-07,645
BKDP,2020-02-07,59
BKSL,2020-02-07,58
BKSL-W,2020-02-07,14
BKSW,2020-02-07,130
BLTA,2020-02-07,50
BLUE,2020-02-07,535
BMAS,2020-02-07,238
BMRI,2020-02-07,7675
BMSR,2020-02-07,90
BMTR,2020-02-07,360
BNBA,2020-02-07,314
BNGA,2020-02-07,890
BNII,2020-02-07,202
BNLI,2020-02-07,1205
BOGA,2020-02-07,1565
BOLA,2020-02-07,262
BOLT,2020-02-07,820
BOSS,2020-02-07,131
