AALI,2019-11-07,12250,12500,12225,12300,1060600,970,167000
ABBA,2019-11-07,125,127,107,108,52613800,7212,980100
ABDA,2019-11-07,0,0,0,6975,0,0,0
ABMM,2019-11-07,1500,1520,1500,1520,300,2,0
ACES,2019-11-07,1700,1700,1650,1660,14663200,4414,6988400
ACST,2019-11-07,1160,1160,1140,1145,169800,59,101000
ADES,2019-11-07,1090,1090,1075,1075,53300,25,0
ADHI,2019-11-07,1250,1250,1210,1215,4524700,1726,2398000
ADMF,2019-11-07,10625,10650,10500,10600,46300,48,4900
ADMG,2019-11-07,193,193,190,190,879900,86,-400000
ADRO,2019-11-07,1390,1390,1325,1385,58536200,6859,9648200
AGII,2019-11-07,600,600,595,600,21200,23,0
AGRO,2019-11-07,202,204,195,197,7312400,429,0
AGRS,2019-11-07,175,199,171,178,230300,74,0
AHAP,2019-11-07,65,69,64,65,170500,47,0
AIMS,2019-11-07,0,0,0,180,0,0,0
AISA,2019-11-07,0,0,0,168,0,0,0
AKKU,2019-11-07,50,50,50,50,14700,15,0
AKPI,2019-11-07,416,416,384,384,38100,14,0
AKRA,2019-11-07,3870,3900,3790,3870,6354100,2259,1580600
AKSI,2019-11-07,860,875,860,875,2678300,259,-44700
ALDO,2019-11-07,380,380,380,380,80300,9,0
ALKA,2019-11-07,452,452,452,452,100,1,0
ALMI,2019-11-07,346,346,346,346,200,1,0
ALTO,2019-11-07,372,386,372,386,2737400,133,0
AMAG,2019-11-07,0,0,0,306,0,0,0
AMFG,2019-11-07,3900,3990,3670,3990,83000,21,79600
AMIN,2019-11-07,0,0,0,310,0,0,0
AMRT,2019-11-07,895,895,880,885,39200,54,115500
ANDI,2019-11-07,212,212,159,159,9695500,1261,-3434600
ANJT,2019-11-07,815,820,815,820,122500,13,0
ANTM,2019-11-07,855,860,830,845,53514100,5386,3028500
APEX,2019-11-07,530,530,408,430,10100,11,0
APIC,2019-11-07,685,690,675,685,20653300,1914,-250400
APII,2019-11-07,182,182,182,182,100,1,0
APLI,2019-11-07,119,119,119,119,2000,3,0
APLN,2019-11-07,206,206,184,192,79478400,3349,-1964600
APOL,2019-11-07,0,0,0,50,0,0,0
ARGO,2019-11-07,0,0,0,825,0,0,0
ARII,2019-11-07,640,640,640,640,12000,2,0
ARKA,2019-11-07,1615,1625,1610,1615,249000,71,0
ARMY,2019-11-07,122,122,80,80,2026900,117,-82300
ARNA,2019-11-07,490,492,486,490,443000,74,-20000
ARTA,2019-11-07,342,342,342,342,500,1,0
ARTI,2019-11-07,50,50,50,50,100,1,0
ARTO,2019-11-07,3480,4100,3480,4100,71300,84,-1000
ASBI,2019-11-07,0,0,0,306,0,0,0
ASDM,2019-11-07,1040,1040,1040,1040,1200,1,0
ASGR,2019-11-07,980,980,960,970,130800,59,-45500
ASII,2019-11-07,6925,6925,6650,6725,29891900,4861,6772040
ASJT,2019-11-07,185,195,175,192,106000,32,0
ASMI,2019-11-07,985,985,975,975,2577000,26,30000
ASRI,2019-11-07,264,266,260,262,2995600,660,390774
ASRM,2019-11-07,1990,1990,1990,1990,300,2,0
ASSA,2019-11-07,735,740,710,740,8007900,312,48800
ATIC,2019-11-07,700,790,700,750,2300,7,0
AUTO,2019-11-07,1225,1230,1180,1205,1483500,829,281600
BABP,2019-11-07,50,50,50,50,597000,31,0
BABP-W3,2019-11-07,34,40,34,40,9200,0,0
BACA,2019-11-07,268,268,268,268,111100,9,0
BAJA,2019-11-07,74,77,66,68,1002700,109,0
BALI,2019-11-07,1400,1400,1285,1285,6200,3,0
BAPA,2019-11-07,80,81,77,79,5000,15,0
BAPI,2019-11-07,50,50,50,50,12600,29,0
BATA,2019-11-07,655,665,610,610,38600,32,-3400
BAYU,2019-11-07,1545,1545,1545,1545,1100,2,0
BBCA,2019-11-07,31675,31675,31250,31425,12394400,6318,4188560
BBHI,2019-11-07,176,180,170,177,61400,19,0
BBKP,2019-11-07,264,264,256,256,4014300,391,921100
