AALI,2019-11-06,12400,12475,12100,12300,1193600,1867,377300
ABBA,2019-11-06,134,136,124,125,34756600,3637,30700
ABDA,2019-11-06,0,0,0,6975,0,0,0
ABMM,2019-11-06,0,0,0,1500,0,0,0
ACES,2019-11-06,1710,1725,1680,1700,16948900,3672,1617800
ACST,2019-11-06,1165,1170,1150,1160,351300,85,346700
ADES,2019-11-06,1090,1090,1070,1090,73300,38,0
ADHI,2019-11-06,1255,1270,1240,1245,4475200,1063,-262200
ADMF,2019-11-06,10575,10625,10575,10625,820900,45,1400
ADMG,2019-11-06,195,197,193,194,236200,56,0
ADRO,2019-11-06,1375,1410,1340,1390,88847800,8410,4428456
AGII,2019-11-06,600,605,590,600,50500,63,4500
AGRO,2019-11-06,208,210,199,200,11756800,886,0
AGRS,2019-11-06,171,176,170,171,9500,7,0
AHAP,2019-11-06,66,69,65,65,165700,42,0
AIMS,2019-11-06,0,0,0,180,0,0,0
AISA,2019-11-06,0,0,0,168,0,0,0
AKKU,2019-11-06,50,50,50,50,19400,19,0
AKPI,2019-11-06,416,420,386,418,68400,19,0
AKRA,2019-11-06,3860,3880,3820,3870,6727900,1799,1234600
AKSI,2019-11-06,860,905,845,860,5933900,610,-85500
ALDO,2019-11-06,380,380,380,380,18000,3,0
ALKA,2019-11-06,0,0,0,474,0,0,0
ALMI,2019-11-06,0,0,0,346,0,0,0
ALTO,2019-11-06,380,380,360,380,2713000,197,0
AMAG,2019-11-06,294,306,274,306,800,6,0
AMFG,2019-11-06,4000,4000,4000,4000,44000,3,0
AMIN,2019-11-06,308,310,308,310,1000,2,0
AMRT,2019-11-06,895,940,895,895,24700,28,13900
ANDI,2019-11-06,282,294,212,212,5218400,1301,-11400
ANJT,2019-11-06,820,820,805,805,1300,2,0
ANTM,2019-11-06,840,870,825,850,109181300,9289,-10147100
APEX,2019-11-06,450,498,434,490,41700,10,41400
APIC,2019-11-06,695,700,680,690,18526100,1869,436400
APII,2019-11-06,0,0,0,182,0,0,0
APLI,2019-11-06,118,118,108,117,30900,15,0
APLN,2019-11-06,210,214,200,202,39985100,1945,-155000
APOL,2019-11-06,0,0,0,50,0,0,0
ARGO,2019-11-06,0,0,0,825,0,0,0
ARII,2019-11-06,640,640,640,640,11000,2,0
ARKA,2019-11-06,1615,1950,1615,1620,270800,111,0
ARMY,2019-11-06,185,185,122,122,4897000,231,-886600
ARNA,2019-11-06,496,496,482,490,3955700,129,-164500
ARTA,2019-11-06,340,342,340,340,3800,5,0
ARTI,2019-11-06,0,0,0,50,0,0,0
ARTO,2019-11-06,2920,3280,2670,3280,283500,172,100000
ASBI,2019-11-06,308,308,306,306,200,2,0
ASDM,2019-11-06,0,0,0,1070,0,0,0
ASGR,2019-11-06,980,980,965,980,189000,53,0
ASII,2019-11-06,6975,6975,6825,6850,29565500,5530,1495208
ASJT,2019-11-06,184,184,184,184,100000,14,0
ASMI,2019-11-06,980,995,980,980,48400,34,81300
ASRI,2019-11-06,272,274,262,264,4294800,836,266100
ASRM,2019-11-06,0,0,0,2110,0,0,0
ASSA,2019-11-06,750,750,735,735,4401700,291,9700
ATIC,2019-11-06,740,740,650,715,2400,10,0
AUTO,2019-11-06,1235,1245,1230,1230,872800,705,275400
BABP,2019-11-06,50,50,50,50,532300,28,0
BABP-W3,2019-11-06,32,33,32,32,5600,0,0
BACA,2019-11-06,268,268,268,268,117000,9,0
BAJA,2019-11-06,79,79,76,77,279300,86,0
BALI,2019-11-06,1400,1400,1400,1400,1000,1,0
BAPA,2019-11-06,79,81,78,81,15500,27,0
BAPI,2019-11-06,50,50,50,50,130600,27,0
BATA,2019-11-06,650,650,625,640,7000,10,-300
BAYU,2019-11-06,1550,1550,1550,1550,1000,2,0
