AALI,2019-11-15,12350,12425,12000,12200,812400,876,294900
ABBA,2019-11-15,109,113,104,104,19873500,1634,716000
ABDA,2019-11-15,0,0,0,6975,0,0,0
ABMM,2019-11-15,1435,1435,1430,1430,900,6,0
ACES,2019-11-15,1705,1710,1685,1695,20709000,5390,1144300
ACST,2019-11-15,1140,1150,1140,1150,435600,221,418400
ADES,2019-11-15,1070,1075,1040,1075,30300,28,0
ADHI,2019-11-15,1200,1215,1190,1210,4807900,1269,-236900
ADMF,2019-11-15,10650,10650,10525,10525,20500,42,14500
ADMG,2019-11-15,193,193,191,191,193700,42,-89700
ADRO,2019-11-15,1315,1350,1300,1340,41127700,4197,-3599200
AGII,2019-11-15,600,600,585,590,57600,36,700
AGRO,2019-11-15,190,193,189,191,603500,191,-60400
AGRS,2019-11-15,170,180,170,179,2300,6,0
AHAP,2019-11-15,58,70,58,68,751600,148,0
AIMS,2019-11-15,0,0,0,180,0,0,0
AISA,2019-11-15,0,0,0,168,0,0,0
AKKU,2019-11-15,50,50,50,50,19100,18,0
AKPI,2019-11-15,380,380,380,380,100,1,0
AKRA,2019-11-15,3700,3760,3680,3680,15745100,2479,4249300
AKSI,2019-11-15,820,825,810,820,2979000,206,85400
ALDO,2019-11-15,382,382,380,380,40400,14,0
ALKA,2019-11-15,430,450,412,450,4400,8,0
ALMI,2019-11-15,288,288,260,266,75900,11,0
ALTO,2019-11-15,388,388,380,388,2753800,105,0
AMAG,2019-11-15,282,306,280,306,88500,4,-82900
AMFG,2019-11-15,0,0,0,3450,0,0,0
AMIN,2019-11-15,0,0,0,308,0,0,0
AMRT,2019-11-15,880,880,875,880,76900,235,75700
ANDI,2019-11-15,204,208,164,176,24417000,3726,1239500
ANJT,2019-11-15,885,895,865,895,207800,24,3700
ANTM,2019-11-15,810,835,810,825,44594900,4166,2607500
APEX,2019-11-15,430,430,430,430,300,2,0
APIC,2019-11-15,665,665,650,655,22327400,1752,35000
APII,2019-11-15,185,204,185,193,2300,6,0
APLI,2019-11-15,130,139,124,132,412700,58,0
APLN,2019-11-15,191,193,190,190,4599500,496,1376100
APOL,2019-11-15,0,0,0,50,0,0,0
ARGO,2019-11-15,0,0,0,825,0,0,0
ARII,2019-11-15,0,0,0,640,0,0,0
ARKA,2019-11-15,1625,1630,1605,1605,276600,129,0
ARMY,2019-11-15,95,96,71,71,69906400,3569,3080800
ARNA,2019-11-15,500,500,500,500,587300,203,-10600
ARTA,2019-11-15,370,370,352,352,600,4,0
ARTI,2019-11-15,0,0,0,50,0,0,0
ARTO,2019-11-15,2950,3370,2950,2950,773500,1174,-2000
ASBI,2019-11-15,0,0,0,302,0,0,0
ASDM,2019-11-15,0,0,0,1040,0,0,0
ASGR,2019-11-15,960,960,950,955,957800,25,105800
ASII,2019-11-15,6650,6650,6475,6525,30343300,5585,15379804
ASJT,2019-11-15,187,191,187,188,4200,8,0
ASMI,2019-11-15,975,975,950,950,74700,34,19500
ASRI,2019-11-15,260,264,256,258,3775400,497,490600
ASRM,2019-11-15,0,0,0,2000,0,0,0
ASSA,2019-11-15,695,700,675,695,6467300,236,-200000
ATIC,2019-11-15,850,850,800,800,1000,8,0
AUTO,2019-11-15,1245,1260,1225,1260,460000,164,36300
BABP,2019-11-15,50,50,50,50,32800,19,0
BABP-W3,2019-11-15,46,46,16,32,17000,0,0
BACA,2019-11-15,0,0,0,268,0,0,0
BAJA,2019-11-15,76,76,70,72,617400,93,0
BALI,2019-11-15,1220,1220,1220,1220,300,3,0
BAPA,2019-11-15,78,79,73,78,38700,14,0
BAPI,2019-11-15,50,50,50,50,708200,65,0
BATA,2019-11-15,665,670,650,670,900,8,-700
BAYU,2019-11-15,1565,1565,1565,1565,900,2,0
BBCA,2019-11-15,31400,31450,31275,31375,9427600,4882,-2514900
BBHI,2019-11-15,165,180,157,179,194600,60,0
BBKP,2019-11-15,250,252,250,250,2991400,319,1833600
BBLD,2019-11-15,422,424,422,424,300,3,0
BBMD,2019-11-15,0,0,0,2390,0,0,0
BBNI,2019-11-15,7350,7550,7300,7450,17105700,3439,-2747700
BBRI,2019-11-15,4000,4100,3960,4090,122007300,13827,-40437730
BBRM,2019-11-15,50,50,50,50,400,2,400
BBTN,2019-11-15,1835,1930,1835,1920,39945100,4885,8251900
BBYB,2019-11-15,288,288,288,288,5000,2,-5000
BCAP,2019-11-15,132,143,132,140,228300,55,-129700
BCIC,2019-11-15,0,0,0,450,0,0,0
BCIP,2019-11-15,81,83,80,82,772100,18,0
BDMN,2019-11-15,4090,4090,4020,4040,2573100,1034,1461900
BEEF,2019-11-15,352,384,350,366,35471300,3524,28800
BEKS,2019-11-15,50,50,50,50,2500,3,0
BELL,2019-11-15,520,520,520,520,58200,22,0
