AALI,2019-11-11,12500,12925,12500,12775,1744300,1611,328200
ABBA,2019-11-11,125,132,119,119,74825800,4893,2258800
ABDA,2019-11-11,0,0,0,6975,0,0,0
ABMM,2019-11-11,0,0,0,1520,0,0,0
ACES,2019-11-11,1730,1755,1720,1750,33589700,5857,-2720952
ACST,2019-11-11,1160,1160,1150,1160,161000,97,149700
ADES,2019-11-11,1085,1125,1070,1105,60400,30,0
ADHI,2019-11-11,1230,1230,1190,1195,4792300,1641,1320900
ADMF,2019-11-11,10600,10600,10400,10550,23100,46,4200
ADMG,2019-11-11,187,190,186,187,162500,33,0
ADRO,2019-11-11,1425,1435,1385,1415,37511800,3879,423100
AGII,2019-11-11,595,605,595,595,4700,15,0
AGRO,2019-11-11,190,193,190,190,1611600,387,3600
AGRS,2019-11-11,170,181,163,178,78600,59,0
AHAP,2019-11-11,64,67,63,67,523500,66,-58400
AIMS,2019-11-11,0,0,0,180,0,0,0
AISA,2019-11-11,0,0,0,168,0,0,0
AKKU,2019-11-11,50,50,50,50,24200,36,0
AKPI,2019-11-11,440,440,430,430,200,2,0
AKRA,2019-11-11,3780,3810,3720,3740,4816400,1805,1889300
AKSI,2019-11-11,880,905,875,900,3032400,271,-133900
ALDO,2019-11-11,380,380,380,380,100,1,0
ALKA,2019-11-11,510,510,500,500,300,2,0
ALMI,2019-11-11,330,330,328,330,131000,5,0
ALTO,2019-11-11,372,378,366,378,3250500,136,-2000
AMAG,2019-11-11,304,304,280,280,2200,4,-100
AMFG,2019-11-11,3580,3580,3500,3500,4300,9,0
AMIN,2019-11-11,0,0,0,310,0,0,0
AMRT,2019-11-11,885,910,875,875,571100,70,470100
ANDI,2019-11-11,140,189,138,171,34590500,5035,2015800
ANJT,2019-11-11,810,855,800,855,679900,58,298300
ANTM,2019-11-11,830,840,820,830,28520100,4020,-2399500
APEX,2019-11-11,410,410,400,410,15500,9,10800
APIC,2019-11-11,680,680,650,655,22525600,1592,1849900
APII,2019-11-11,182,182,182,182,100,1,0
APLI,2019-11-11,119,119,119,119,100,1,0
APLN,2019-11-11,193,196,190,190,15003800,1936,-1865900
APOL,2019-11-11,0,0,0,50,0,0,0
ARGO,2019-11-11,0,0,0,825,0,0,0
ARII,2019-11-11,640,640,640,640,12000,2,0
ARKA,2019-11-11,1630,1630,1600,1625,298500,105,1300
ARMY,2019-11-11,54,59,52,52,77886400,1848,-12350200
ARNA,2019-11-11,490,492,488,492,40500,39,16400
ARTA,2019-11-11,342,424,342,410,6200,8,0
ARTI,2019-11-11,50,50,50,50,2800,4,0
ARTO,2019-11-11,2890,2970,2310,2310,58100,35,0
ASBI,2019-11-11,0,0,0,306,0,0,0
ASDM,2019-11-11,0,0,0,1040,0,0,0
ASGR,2019-11-11,975,975,960,965,168400,63,-17800
ASII,2019-11-11,6650,6650,6550,6650,19373700,3204,4999519
ASJT,2019-11-11,187,187,184,184,35100,12,0
ASMI,2019-11-11,990,1000,985,1000,84900,47,21000
ASRI,2019-11-11,264,270,260,268,5190000,933,-208400
