CPRI,2019-10-23,0,0
CPRO,2019-10-23,0,0
CSAP,2019-10-23,0,0
CSIS,2019-10-23,0,0
CTBN,2019-10-23,0,0
CTRA,2019-10-23,3327100,3297754
CTTH,2019-10-23,3171000,0
DART,2019-10-23,0,0
DAYA,2019-10-23,0,0
DEAL,2019-10-23,130000,1321400
DEFI,2019-10-23,0,0
DEWA,2019-10-23,0,0
DFAM,2019-10-23,0,0
DGIK,2019-10-23,0,0
DIGI,2019-10-23,0,0
DILD,2019-10-23,18100,0
DIVA,2019-10-23,132000,0
DKFT,2019-10-23,116700,46200
DLTA,2019-10-23,100,0
DMAS,2019-10-23,3865000,23499385
DMMX,2019-10-23,66541600,33574500
DNAR,2019-10-23,0,0
DNET,2019-10-23,0,0
DOID,2019-10-23,791800,279400
DPNS,2019-10-23,0,0
DPUM,2019-10-23,0,0
DSFI,2019-10-23,0,0
DSNG,2019-10-23,0,0
DSSA,2019-10-23,0,0
DUCK,2019-10-23,0,278800
DUTI,2019-10-23,0,0
DVLA,2019-10-23,0,0
DWGL,2019-10-23,0,0
DYAN,2019-10-23,0,0
EAST,2019-10-23,0,50000
ECII,2019-10-23,1000,0
EKAD,2019-10-23,29100,0
ELSA,2019-10-23,272200,110100
ELTY,2019-10-23,0,0
EMDE,2019-10-23,0,0
EMTK,2019-10-23,0,0
ENRG,2019-10-23,0,6600
ENVY,2019-10-23,0,24000
EPMT,2019-10-23,0,0
ERAA,2019-10-23,6429700,9536600
ERTX,2019-10-23,0,0
ESSA,2019-10-23,7200,0
ESTI,2019-10-23,0,0
ETWA,2019-10-23,0,0
EXCL,2019-10-23,8281075,6353775
FAST,2019-10-23,0,0
FASW,2019-10-23,0,0
FILM,2019-10-23,0,0
FINN,2019-10-23,0,0
FIRE,2019-10-23,17600,0
FISH,2019-10-23,0,0
FITT,2019-10-23,0,0
FMII,2019-10-23,0,0
FOOD,2019-10-23,0,0
FORU,2019-10-23,0,0
FORZ,2019-10-23,300000,0
FPNI,2019-10-23,0,0
FREN,2019-10-23,4685825,13571725
FUJI,2019-10-23,156500,100000
GAMA,2019-10-23,0,0
GDST,2019-10-23,0,0
GDYR,2019-10-23,0,0
GEMA,2019-10-23,0,0
GEMS,2019-10-23,0,0
GGRM,2019-10-23,515304,1155804
GGRP,2019-10-23,2100,0
GHON,2019-10-23,0,0
GIAA,2019-10-23,10062900,494400
GJTL,2019-10-23,1290700,100
GLOB,2019-10-23,0,0
GMFI,2019-10-23,0,0
GMTD,2019-10-23,0,0
GOLD,2019-10-23,0,0
GOLL,2019-10-23,0,0
GOOD,2019-10-23,1700,0
GPRA,2019-10-23,0,0
GREN,2019-10-23,0,0
GSMF,2019-10-23,0,0
GTBO,2019-10-23,0,0
GWSA,2019-10-23,0,0
GZCO,2019-10-23,0,0
HADE,2019-10-23,0,0
HDFA,2019-10-23,0,0
HDIT,2019-10-23,0,0
HDTX,2019-10-23,0,0
HEAL,2019-10-23,66100,39100
HELI,2019-10-23,0,0
HERO,2019-10-23,300,0
HEXA,2019-10-23,0,300
HITS,2019-10-23,0,0
HKMU,2019-10-23,0,60900
HMSP,2019-10-23,1659425,20706225
HOKI,2019-10-23,0,127800
HOME,2019-10-23,33607400,3563700
HOTL,2019-10-23,0,0
HRME,2019-10-23,105000,105000
HRTA,2019-10-23,0,0
HRUM,2019-10-23,103500,7000
IATA,2019-10-23,0,0
IBFN,2019-10-23,0,0
IBST,2019-10-23,0,0
