AALI,2019-11-08,12300,12950,12100,12600,1130500,1190,-51400
ABBA,2019-11-08,108,126,98,124,129537100,7590,-6700000
ABDA,2019-11-08,0,0,0,6975,0,0,0
ABMM,2019-11-08,0,0,0,1520,0,0,0
ACES,2019-11-08,1710,1740,1700,1715,96489100,7967,3622100
ACST,2019-11-08,1170,1170,1150,1160,174800,81,150700
ADES,2019-11-08,1080,1085,1080,1085,200,2,0
ADHI,2019-11-08,1225,1230,1215,1215,3595200,967,912800
ADMF,2019-11-08,10625,10675,10550,10600,658400,50,5000
ADMG,2019-11-08,190,190,185,187,334700,89,-59700
ADRO,2019-11-08,1400,1435,1395,1415,84463700,6835,-5873900
AGII,2019-11-08,580,605,580,595,11300,16,0
AGRO,2019-11-08,198,200,188,189,5144300,707,-4700
AGRS,2019-11-08,177,178,170,177,58900,36,0
AHAP,2019-11-08,66,68,64,65,251900,41,0
AIMS,2019-11-08,0,0,0,180,0,0,0
AISA,2019-11-08,0,0,0,168,0,0,0
AKKU,2019-11-08,50,50,50,50,333900,19,0
AKPI,2019-11-08,384,442,384,390,1900,9,0
AKRA,2019-11-08,3870,3900,3780,3780,6146300,2195,2030900
AKSI,2019-11-08,875,885,870,885,3015800,255,-154500
ALDO,2019-11-08,380,380,380,380,49400,10,0
ALKA,2019-11-08,432,510,432,500,3100,6,0
ALMI,2019-11-08,340,350,328,350,4400,9,-500
ALTO,2019-11-08,384,384,372,374,2509700,123,0
AMAG,2019-11-08,0,0,0,306,0,0,0
AMFG,2019-11-08,3890,3890,3500,3500,329200,111,264800
AMIN,2019-11-08,310,310,310,310,10000,4,0
AMRT,2019-11-08,885,890,885,885,141300,64,115400
ANDI,2019-11-08,150,159,104,140,17784400,1954,-8159500
ANJT,2019-11-08,815,820,810,820,142000,17,700
ANTM,2019-11-08,840,855,825,835,41949800,3628,8959400
APEX,2019-11-08,430,440,390,410,56500,14,56300
APIC,2019-11-08,685,685,665,680,20829200,1595,-1329600
APII,2019-11-08,0,0,0,182,0,0,0
APLI,2019-11-08,118,119,118,119,800,4,0
APLN,2019-11-08,192,197,187,193,25802600,1272,-2235600
APOL,2019-11-08,0,0,0,50,0,0,0
ARGO,2019-11-08,0,0,0,825,0,0,0
ARII,2019-11-08,640,640,640,640,11000,2,0
ARKA,2019-11-08,1615,1625,1615,1625,259700,80,1200
ARMY,2019-11-08,53,68,52,52,122057400,1974,-6603500
ARNA,2019-11-08,490,492,488,490,172800,47,-71400
ARTA,2019-11-08,0,0,0,342,0,0,0
ARTI,2019-11-08,50,50,50,50,100,1,0
ARTO,2019-11-08,4700,5125,3080,3080,533700,754,-1600
ASBI,2019-11-08,0,0,0,306,0,0,0
ASDM,2019-11-08,0,0,0,1040,0,0,0
ASGR,2019-11-08,970,975,965,970,270900,63,-13100
ASII,2019-11-08,6700,6700,6550,6625,34878600,4781,14610800
ASJT,2019-11-08,192,192,185,187,26100,18,0
ASMI,2019-11-08,980,990,980,990,99000,34,14100
ASRI,2019-11-08,262,266,262,262,3368100,378,2337700
ASRM,2019-11-08,2060,2060,1990,2050,2700,3,0
ASSA,2019-11-08,740,740,725,735,4204900,310,-70000
ATIC,2019-11-08,0,0,0,750,0,0,0
AUTO,2019-11-08,1210,1240,1205,1235,398800,177,33200
BABP,2019-11-08,50,50,50,50,233700,11,0
BABP-W3,2019-11-08,0,0,0,40,0,0,0
BACA,2019-11-08,268,268,268,268,115900,6,0
BAJA,2019-11-08,70,70,55,64,544900,104,0
BALI,2019-11-08,1275,1400,1275,1400,1100,2,0
BAPA,2019-11-08,79,80,79,79,19000,12,0
BAPI,2019-11-08,50,50,50,50,443800,33,0
BATA,2019-11-08,640,650,640,650,400,4,-300
BAYU,2019-11-08,1565,1565,1565,1565,100,1,0
BBCA,2019-11-08,31575,31575,31250,31400,18008100,4570,10705137
BBHI,2019-11-08,177,177,165,175,476100,32,0
BBKP,2019-11-08,256,260,250,254,5261000,681,3626900
BBLD,2019-11-08,0,0,0,438,0,0,0
BBMD,2019-11-08,0,0,0,2390,0,0,0
BBNI,2019-11-08,7650,7700,7500,7675,17187700,3593,-1461600
BBRI,2019-11-08,4010,4030,3980,3990,134618100,11853,64783835
BBRM,2019-11-08,50,50,50,50,100,1,100
BBTN,2019-11-08,1850,1895,1845,1890,19806100,3475,-44700
BBYB,2019-11-08,282,290,282,284,63000,6,-52500
BCAP,2019-11-08,157,159,151,154,7001100,9302,-296500
BCIC,2019-11-08,0,0,0,450,0,0,0
BCIP,2019-11-08,83,84,82,83,825500,38,0
BDMN,2019-11-08,4170,4190,4120,4150,1441800,945,854800
BEEF,2019-11-08,346,350,336,342,5547800,617,25100
BEKS,2019-11-08,50,50,50,50,257900,11,0
BELL,2019-11-08,520,520,515,515,58600,21,0
BEST,2019-11-08,240,240,230,232,20249300,1219,6964600
BFIN,2019-11-08,600,600,595,595,2441400,66,771800
BGTG,2019-11-08,66,69,64,68,4870000,213,0
